isosmiles
COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
C[N+]1=C(C2=CC(=C(C=C2C=C1)OC)OC)CC3=CC=C(C=C3)OC4=C(C=CC(=C4)CC5=[N+](C=CC6=CC(=C(C=C65)OC)OC)C)OC
C1CCN[C@H](C1)C2=CN(CCC2)C(=O)C3C(C(C3C4=CC=CC=C4)C(=O)N5CCCC(=C5)[C@H]6CCCCN6)C7=CC=CC=C7
CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)C
C/C/1=C\\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
CN1C2=CC=CC=C2C(=O)C3=C1C(=C(C(=C3OC)OC)OC)OC
COC1=CC(=CC(=C1O)OC)/C=C/C=O
CC(=O)O[C@@]12CC(CC[C@@H]1C(=O)C[C@@]3(C2=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@H]([C@H](O9)CO)O)O)O)C)C)C)(C)C
C[C@H]1CC[C@H]2[C@@]([C@H]3CC[C@@H]4[C@H]([C@@H]3CN2C1)C[C@H]5[C@H]4C[C@@H]([C@@H]6[C@@]5(CC[C@@H](C6)O)C)O)(C)O
C[C@@H]([C@H]1CC[C@@]2([C@@]1(CC[C@H]3C2=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)C)O)[C@@H](CCC(C)(C)O)O
C/C=C(/C)\\C(=O)O[C@@H]1CC(=C)[C@@H]2[C@@H]([C@@H]3[C@]([C@@]2([C@@H]4[C@@H]1C(=C)C(=O)O4)O)(O3)C)O
CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@]5(C[C@@H]([C@]6(C[C@@H]4[C@@H]5[C@H]6OC(=O)C7=CC(=C(C=C7)OC)OC)O)OC)OC(=O)C)OC)OC)O)COC
CN1CC[C@]2([C@@H]1CC(=O)CC2)C3=CC(=C(C=C3)OC)OC
CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4
CC1=CC2=C(C(=C1C3=C(C4=C(C=C3C)C(=O)C5=C(C4=O)C(=CC=C5)O)O)O)C(=O)C6=C(C2=O)C=CC=C6O
CC12CCC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O
CC1=CCC2C3C1[C@]2(CCC3C(C)C)C
COC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC(=C(C=C3)O)OC
CC(=O)OCC1=C2[C@H](C[C@@](C(=O)CC[C@@]3([C@@H]([C@H]2OC1=O)O3)C)(C)OC(=O)C)OC(=O)C
C/C(=C\\C=C\\C=C(/C)\\C=C\\C=C(/C)\\C(=O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)/C=C/C=C(\\C)/C(=O)O
C=C[C@H]1CN2CCC1C[C@H]2[C@@H](C3=CC=NC4=CC=CC=C34)O
CC1=C[C@@H]2[C@@H](CC[C@H]3N2[C@H](C1)C[C@H]4N3C(=O)CCC4)O
C1=CC=C2C(=C1)C(=CN2S(=O)(=O)O)CC(=NOS(=O)(=O)O)S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
