index,ECFP6_2048,rdk,lr,lightgbm
0,0.7662,0.7273,0.8719,0.8275
1,0.7743,0.6886,0.7542,0.6797
2,0.6868,0.6221,0.7809,0.7841
3,0.7542,0.8071,0.7993,0.7804
4,0.7044,0.6518,0.8629,0.8264
5,0.7486,0.7109,0.8404,0.7902
6,0.7793,0.7706,0.7611,0.778
7,0.692,0.7178,0.5667,0.6077
8,0.7782,0.7437,0.7982,0.8151
9,0.6765,0.6829,0.5407,0.5111
10,0.7361,0.7123,0.7576,
11,0.0393,0.0518,0.1088,
