index,ECFP6_2048,pairfps,lr,lightgbm
0,0.7662,0.7195,0.8536,0.7952
1,0.7743,0.7719,0.8249,0.7076
2,0.6876,0.7284,0.7976,0.7484
3,0.7542,0.7486,0.7621,0.7359
4,0.7042,0.6983,0.8733,0.8011
5,0.7485,0.7198,0.8403,0.7729
6,0.7792,0.7688,0.7887,0.776
7,0.6921,0.6724,0.597,0.5932
8,0.778,0.7863,0.7195,0.7765
9,0.6765,0.6653,0.4702,0.4924
10,0.7361,0.7279,0.7527,
11,0.0391,0.0393,0.1209,
