index,ECFP6_2048,pairfps,lr,lightgbm
0,0.6355,0.6195,0.6534,0.6048
1,0.7282,0.7118,0.8335,0.7794
2,0.6787,0.6628,0.7057,0.6009
3,0.7174,0.6973,0.801,0.7412
4,0.6948,0.6681,0.7772,0.7205
5,0.676,0.6783,0.7604,0.6952
6,0.6389,0.6586,0.8235,0.7626
7,0.6835,0.6397,0.6806,0.6005
8,0.6955,0.7399,0.7871,0.7356
9,0.6841,0.6346,0.6772,0.5776
10,0.6833,0.6711,0.7499,
11,0.0279,0.0351,0.0621,
