index,ECFP6_2048,rdk,lr,lightgbm
0,0.7597,0.7494,0.8774,0.858
1,0.8055,0.7689,0.8715,0.8472
2,0.8248,0.8683,0.7894,0.7384
3,0.8084,0.7669,0.7789,0.699
4,0.8087,0.7584,0.8723,0.8864
5,0.7864,0.7821,0.7999,0.7448
6,0.758,0.7544,0.8299,0.7739
7,0.7854,0.7725,0.7966,0.7269
8,0.8097,0.8182,0.8569,0.8196
9,0.7041,0.6808,0.8582,0.8514
10,0.7851,0.772,0.8331,
11,0.0341,0.0457,0.0367,
