index,ECFP6_2048,mol2vec,lr,lightgbm
0,0.8377,0.7539,0.9228,0.8753
1,0.9057,0.8753,0.921,0.9061
2,0.8499,0.789,0.8422,0.7405
3,0.8685,0.8439,0.947,0.9228
4,0.8875,0.8372,0.7937,0.7753
5,0.8479,0.8068,0.8644,0.7956
6,0.8154,0.7454,0.8051,0.7663
7,0.8839,0.8563,0.7539,0.7202
8,0.8415,0.8081,0.6789,0.5804
9,0.8724,0.8702,0.822,0.8062
10,0.861,0.8186,0.8351,
11,0.0259,0.0435,0.0789,
