index,ECFP6_2048,pubchem,lr,lightgbm
0,0.7597,0.7512,0.8747,0.8695
1,0.8055,0.7737,0.8998,0.9073
2,0.8248,0.8269,0.7992,0.7628
3,0.8084,0.7826,0.7595,0.7384
4,0.8087,0.7939,0.8817,0.8716
5,0.7864,0.7462,0.8077,0.7698
6,0.758,0.6934,0.8199,0.8162
7,0.7854,0.7731,0.7778,0.6859
8,0.8097,0.8029,0.8574,0.8349
9,0.7041,0.712,0.8822,0.8718
10,0.7851,0.7656,0.836,
11,0.0341,0.0388,0.0468,
