index,ECFP6_2048,pubchem,lr,lightgbm
0,0.8377,0.7941,0.8986,0.8936
1,0.9057,0.8684,0.9479,0.9077
2,0.8499,0.7981,0.846,0.8164
3,0.8685,0.7968,0.9438,0.9364
4,0.8874,0.8366,0.8062,0.771
5,0.8479,0.8244,0.8896,0.8548
6,0.8157,0.7989,0.8585,0.8648
7,0.8838,0.833,0.7871,0.8126
8,0.8416,0.7909,0.6404,0.582
9,0.8724,0.8559,0.867,0.8614
10,0.8611,0.8197,0.8485,
11,0.0258,0.0266,0.0851,
