index,ECFP6_2048,pubchem,lr,lightgbm
0,0.6904,0.6492,0.7093,0.5668
1,0.7515,0.7078,0.6566,0.5389
2,0.5414,0.5204,0.7894,0.7283
3,0.6565,0.6751,0.5776,0.4653
4,0.6818,0.6031,0.8339,0.767
5,0.6815,0.6814,0.3181,0.3111
6,0.6713,0.5995,0.4923,0.3927
7,0.6221,0.5452,0.7651,0.8198
8,0.6267,0.5741,0.7129,0.5969
9,0.6161,0.5855,0.3307,0.2812
10,0.6539,0.6142,0.6186,
11,0.0534,0.0588,0.175,
