ECFP6_2048,mol2vec,lr,lightgbm,br
0.6606,0.6245,0.7949,0.7927,0.7949
0.6438,0.6407,0.6841,0.6536,0.6841
0.73,0.6122,0.7754,0.7597,0.7755
0.6271,0.5808,0.7887,0.7725,0.7886
0.7353,0.7111,0.7228,0.7197,0.7229
0.7347,0.6706,0.7943,0.7678,0.794
0.6151,0.5934,0.7685,0.7789,0.7684
0.6676,0.5572,0.6205,0.6025,0.6207
0.6311,0.6114,0.7516,0.7394,0.7517
0.6291,0.6182,0.679,0.651,0.6794
0.6674,0.622,0.738,0.7238,0.738
0.0456,0.042,0.0565,0.0621,0.0564
