,ECFP6_2048,pubchem,pIC50
305,4.090821154957342,4.565071440364429,4.1249387366083
1283,8.68920587406,8.495105767533865,9.0
368,5.357982950008525,4.954506697961075,5.096910013008056
479,7.240525867201013,7.087636910064212,8.050609993355087
1537,7.623930242648724,7.722625248558163,8.09151498112135
1674,8.347053076165778,8.65359951124621,8.221848749616356
519,2.4348551313152615,2.3956088369560473,2.9281179926938745
1982,4.3967691308588766,4.237679838082456,3.87942606879415
1873,5.405171064968423,4.901449636460226,4.370590400897281
100,6.724854076602645,6.936010713235979,6.663540266151471
1261,7.6527451103495086,7.969565265966433,8.537602002101044
111,3.219776344634595,3.353628203407736,3.0
1822,8.9171788451695,8.530349204136494,8.886056647693163
70,6.056411947875495,6.147512016073715,6.159266765388193
1107,8.814606296013027,8.84647067215037,9.0
1007,8.935553110562628,8.568041834361159,9.0
530,2.828431956340635,2.7332105615530122,3.309803919971486
982,8.676583289764602,8.324239351529503,9.0
361,5.235086924228353,5.102813160551569,5.1938200260161125
707,6.0552000527869945,6.110051231100182,5.721246399047171
56,4.468261546297825,4.544694106972125,4.3979400086720375
818,6.3465800015883636,5.799311675248594,6.7447274948966935
1073,8.840010558073908,8.877249836903838,9.0
281,6.144333024913339,6.1194468842042085,5.0
1259,7.18459159212508,7.139439480143545,5.764471553092451
1473,7.509215217583961,7.449508863280326,7.568636235841013
1120,8.768714585560206,8.84647067215037,8.920818753952375
1316,8.306325222908617,8.308216356506767,8.142667503568731
618,6.454532724178049,7.149479477540162,6.958607314841775
1860,4.577079641224188,4.788369473705094,4.642065152999546
1566,8.749083037715359,8.774261825798575,8.2839966563652
211,6.477905408974583,6.172974046831781,7.080921907623926
1298,8.580297729358765,8.685378931075999,8.337242168318426
1861,4.63760189422594,4.6450916192172915,5.481486060122113
1652,7.589683892780032,7.936078188919837,8.657577319177793
1953,5.2891696908629475,5.663988754475315,6.075720713938118
124,6.138126992407252,5.874949500427869,5.301029995663981
422,6.185398488312117,6.0601627548148675,5.795880017344075
1587,8.396090292338645,8.629001021568662,8.327902142064282
1089,8.746150817443912,8.956835646860995,9.0
1144,8.81072957621683,8.739297203535706,9.0
561,3.9706105608621964,5.482593362375737,4.522878745280337
865,5.110536344423822,5.116371932464164,5.0
464,7.771739717701915,7.772633866041146,8.119186407719209
29,5.735873916050834,5.506601920606018,6.0
1972,4.732887412065587,3.96427858023838,5.899998417198648
471,6.356764822242693,5.599484943340469,6.886056647693163
942,9.795678175479013,9.671731942484117,9.522878745280336
602,6.8051268484720095,7.303191271634654,6.6777807052660805
746,6.049899091753361,4.618239534644291,4.853871964321762
350,6.030629390648424,5.601137414322427,8.522878745280337
196,5.741581408068103,5.887582672131576,5.221848749616356
1449,7.416566169791281,7.401670940151058,7.267606240177032
394,5.1790616074553135,5.380455776059343,4.920818753952375
1420,8.858600587428013,8.857452223159719,9.0
485,2.026029676042553,2.1604962170649893,3.408935392973501
1317,8.927958465372214,8.849499587315922,9.0
1809,8.699050774866576,8.88065650999533,8.67778070526608
1824,8.955983245315547,8.465457232131607,9.0
1057,8.495412875509995,8.772522924048552,8.522878745280337
607,7.296105743374651,6.868034984823938,5.275724130399211
637,7.841203134035408,7.503842779649296,7.366531544420414
538,5.068649122044692,4.175697520412438,3.5228787452803374
745,5.280190900009624,4.912560981973543,4.853871964321762
576,5.239788476827527,5.734743329809784,4.481486060122113
994,9.027820812658293,8.832812671139951,9.0
65,4.692550912268728,4.364658131489577,4.346787486224656
1565,8.586109487641112,8.591553210688915,8.2518119729938
2022,5.641095306840074,5.549028862408435,5.114073660198569
999,8.908322206778339,8.58190013497654,9.0
582,7.211819885855093,7.468394306240673,7.619788758288394
704,6.537072385673143,6.629718565827507,6.508638306165727
1210,7.70408068616123,7.9582415827326995,8.013228265733755
1599,8.690344687990795,8.34825640827229,8.769551078621726
1102,9.005775675325424,8.89618814996037,9.0
921,8.860895116871061,8.70317172316292,8.522878745280337
414,6.0072805628389565,5.858030377344073,6.096910013008056
450,4.919422299541355,4.427634619451232,5.0
889,7.393566643453528,7.6269176507686245,7.356547323513812
128,3.093369798253098,3.1354599969585633,3.0
1820,8.524045399888728,8.665628609697322,7.97061622231479
554,5.346436565850234,5.489617290706312,4.120330794367947
944,9.072959378052161,9.238701392545272,9.522878745280336
298,6.403787130869843,6.946027211907368,7.221848749616356
231,5.218522651567607,5.5420259629822946,4.795880017344075
1146,8.918288215118821,8.452422489486192,9.0
1027,8.86909156125663,8.626594690522369,8.744727494896694
861,5.152685237830244,5.714873556364289,5.0
1425,9.082817827807094,9.076332602948947,9.0
307,5.283851069902886,6.629911213903515,6.7447274948966935
1078,8.849692208917707,8.711531909615616,8.886056647693163
210,5.587770909933423,6.715078060989914,5.823908740944319
344,7.243132626903285,7.48189123161115,7.075720713938118
1336,8.909015682969128,8.789157894206262,8.853871964321762
1100,8.757774863769503,8.744249755148234,9.0
914,8.623014743247404,8.829923630107759,9.522878745280336
1208,8.451227999192936,8.338317523175109,8.468521082957745
433,6.0460872424040355,6.055452376511342,5.853871964321762
69,3.03347531522447,3.137676019202021,3.0
1125,8.582162567905103,8.736171633141188,8.698970004336019
931,6.545261675194037,6.458840935877226,7.096910013008056
1177,8.204261328674976,8.095600968204101,7.962573502059376
1812,8.62420328067334,8.579402352340209,9.0
973,8.800412419067605,8.563348502553678,9.0
233,6.640227840627921,6.237493936655805,6.920818753952375
275,6.30387150082366,5.654552725625591,5.698970004336019
1641,8.213179526077504,8.332462431051757,9.0
2032,5.670907610551811,5.249748003369536,5.671620396561262
99,5.179648205249973,5.996824528303411,5.301029995663981
1489,7.977476039916186,7.9125621445927985,7.823908740944319
630,6.136515994564135,6.107394059460856,4.070000019492821
743,3.524012446354799,3.6280990237630104,3.6989700043360174
1113,8.807886007589778,8.767436852578022,8.318758762624412
247,6.192079843714745,6.901924082709028,6.443697499232712
316,5.9283422840395765,6.063659317922853,6.0
692,5.700750471530017,5.7674279858412705,5.769551078621726
1384,9.061527546759784,9.08209214652575,9.0
1858,5.10551700191978,4.665318430780454,4.632644078973981
1285,8.90584146747963,8.753002616184224,8.568636235841012
1966,4.621861954101531,3.8513458467445445,4.499999953328896
1776,8.547654869790136,8.435144629148155,8.292429823902063
1976,7.125312142405738,5.004835820920164,4.0
535,4.243943404591663,5.715816037277789,4.920818753952375
220,5.852107382305706,6.956251098026196,7.0
965,8.97573119784032,8.606408843683468,9.0
979,8.783344556939099,8.64368427994015,9.0
1053,8.62796306588247,8.37860170735441,8.346787486224656
941,9.751262680230939,9.730659003007167,9.522878745280336
1453,7.867569724386988,7.739809134079271,8.096910013008056
1890,5.13847384117569,5.353927066563077,6.1938200260161125
1486,7.598600348459845,7.632475767682962,7.568636235841013
832,4.879580517915569,5.041465530335479,4.552841968657781
1917,6.289584587795092,6.07505971001247,6.091514981121351
1908,5.608528846527318,4.949506827678154,5.490797477668897
1364,8.976841770495996,9.033483850275921,9.0
1875,6.733184207358618,6.105194321909428,5.173925197299174
678,4.773197255103877,5.328551195431298,5.214670164989233
1639,8.258356624157605,8.332462431051757,9.0
306,6.168956932762842,5.09948653011234,3.0
367,6.517609124031101,5.858030377344073,6.698970004336019
782,7.0603111694113485,6.110051231100182,6.568636235841013
1988,6.768089392072975,6.892147467479231,7.468521082957745
1447,7.817062189920399,7.739809134079271,8.045757490560675
1040,9.127469766378328,8.670705485217011,9.0
988,9.000029036388847,8.6839536104855,9.0
