ECFP6_2048,pubchem,lr
0.7662,0.7087,0.8818
0.7743,0.6825,0.793
0.6868,0.6656,0.7634
0.7542,0.8028,0.7981
0.7044,0.6059,0.8979
0.7486,0.6782,0.8152
0.7792,0.7417,0.7961
0.6921,0.6658,0.6323
0.778,0.7492,0.7678
0.6765,0.5496,0.4716
0.736,0.685,0.7617
0.0392,0.0687,0.1184
