ECFP6_2048,pubchem,lr
0.8377,0.7941,0.8986
0.9057,0.8684,0.9479
0.8499,0.7981,0.846
0.8685,0.7968,0.9438
0.8874,0.8366,0.8062
0.8479,0.8244,0.8896
0.8157,0.7989,0.8585
0.8838,0.833,0.7871
0.8416,0.7909,0.6404
0.8724,0.8559,0.867
0.8611,0.8197,0.8485
0.0258,0.0266,0.0851
