ECFP6_2048,rdk,lr,lightgbm,br
0.8144,0.7469,0.8166,0.8037,0.8166
0.7991,0.7752,0.8203,0.8068,0.8202
0.7495,0.7167,0.7948,0.7941,0.7948
0.7052,0.6715,0.8619,0.8644,0.8619
0.7129,0.7535,0.8356,0.8311,0.8357
0.7611,0.7727,0.711,0.6592,0.7111
0.7745,0.7714,0.8141,0.8119,0.8141
0.8029,0.7822,0.8433,0.8273,0.8431
0.8173,0.8011,0.8698,0.863,0.8698
0.7857,0.7815,0.8119,0.7923,0.812
0.7723,0.7573,0.8179,0.8054,0.8179
0.0378,0.0361,0.042,0.0545,0.0419
