,ECFP6_2048,pubchem,pIC50
2268,7.662661541574118,7.192079335386757,7.468521082957745
3529,7.966496246849822,7.4925831316897815,7.697885623043799
3916,5.176611283393164,5.2187852688223995,4.454321850207974
4371,5.9694459138945035,5.979740154816249,5.701146923590294
544,5.494640482404501,6.398789137026017,4.2699999970646445
2225,6.696994985563801,6.4448705259612,6.6777807052660805
3739,5.1015540854353185,4.231780126522403,3.3010299956639813
2887,5.513011211624582,5.491578146422731,4.801342913045577
228,6.079339965263416,5.8215974346699575,5.886056647693163
393,7.222017516528123,6.618728513718972,7.929962133392243
4917,6.345943311866545,6.6041429027361715,6.941573975542995
1964,9.325231732281333,10.61222464810443,9.30102999566398
2650,5.053287594897964,5.078133163345516,4.697452627512514
3017,5.37362584153493,5.134551110242191,5.251811972993799
401,7.208935878258585,7.341557749991617,7.730020323354676
4974,5.885283457421401,5.722545950737417,6.080921907623926
2173,4.545142641947357,4.730853344695039,4.832682665251824
3939,6.002156433642324,5.382556092129607,5.174573882232177
3181,6.731139782212419,6.055460299875058,6.370590400897281
346,6.7377302073449545,6.966296609307638,7.010016541698601
1550,6.042921516650361,5.68676938456998,6.716698771296451
5714,5.248544100690107,5.920351153920434,4.943095148663527
705,6.744408853157758,7.644895081306147,8.657577319177793
3951,5.052264695988836,5.128187838305495,5.1938200260161125
4645,3.8314475822284986,3.8095416694140254,3.882397308309916
2358,5.104819878207094,4.770711354657141,4.911509529817604
4338,7.011129247869054,7.385717252747019,7.366531544420414
4440,5.467292374989156,5.434700674444587,5.236572006437063
2521,5.475543930163603,5.214505281620646,5.106238237942057
4059,3.8286326208345303,3.409135531371646,3.0
2986,2.555729571479304,3.0525192511248354,2.9706162223147903
410,8.162725166427824,7.706952243018699,7.886056647693163
5620,5.785384286538563,5.4595390566183335,5.0
3080,7.212234677190738,6.762153781880276,6.632644078973981
3375,8.070828868075905,9.370383286159388,10.571055709964426
3767,5.401066182626446,5.1100708748761505,5.2225731776106885
5910,4.174772810286294,4.447269455675519,2.710634048479968
755,7.41756473602796,7.337163146208681,7.920818753952375
1496,6.235355142308696,6.189914060220324,5.552841968657781
4631,7.139423979240273,6.34125989526487,6.958607314841775
5377,5.254660441668048,5.767412451438756,4.75559916619863
6045,6.962803710296722,5.853573544712279,6.638272163982407
1086,5.063189896877217,5.402590271777509,5.522878745280337
3148,4.634953256198772,5.011635591355746,4.533132379645891
4081,4.019965711299564,4.277606881416596,3.6989700043360174
2399,4.92953683164008,3.9788776688440546,3.6989700043360174
3688,5.51305427632613,6.337779140783694,4.915245036820646
808,5.6810693568003,5.696628565728548,6.292429823902063
1514,5.879541098718175,7.010309000701974,5.101823516502323
3684,6.420058785782677,6.813784672874528,7.366531544420414
1780,8.233587450611155,8.16597712245784,9.318758762624412
1611,4.072748180135424,3.85538928130304,3.2967086218813386
1650,5.349856956976758,5.205866213116865,6.154901959985743
730,7.007944694199691,6.2111471778557945,7.769551078621726
5137,5.3543556655117,5.316318088684441,5.578396073130169
4108,2.9299432153343523,3.05634677900014,3.047788941891331
4765,8.497763000615244,7.7899686204069685,8.787812395596042
2181,4.554632549761141,4.64189961066719,4.809668301829708
4727,3.8589782619907522,4.21278930941025,3.686976889676762
5136,6.4148205450850595,5.336520130743865,5.437707135543525
1144,7.825125404312399,7.220901667986158,8.247951552180561
1302,3.985051367521737,4.424251993770973,4.301029995663981
167,6.063897389175484,6.688884287700353,6.79317412396815
4837,4.291044968056507,5.14978767990353,4.543633966870957
233,4.83582560120739,5.427895325752898,5.0
5569,4.227638101912729,4.671609856744338,4.301029995663981
3827,5.976767897452186,5.208330190073324,5.798602875679548
2418,8.755034232494035,8.595208736874753,8.860120913598763
960,6.654658393843328,6.868519202951366,7.552841968657781
4909,6.1911066844296965,6.226105901595849,6.991399828238082
3691,5.269766159000448,5.115467155538245,4.513286224017515
3555,7.989689271505975,7.4801548425428805,7.815308569182402
2929,4.482225552313405,4.258602838886685,4.145693958198919
1371,6.395398302232088,5.843283044328505,6.485452247339714
2683,5.240818564983304,5.0064142932769515,5.47755576649368
710,7.012360125736984,6.914132678105219,8.304518323509802
2164,5.139368604629596,6.285360582584979,5.221848749616356
4349,5.641233249188405,6.741838154161414,6.767003889607846
5194,5.389579067839833,5.029064640049513,5.300000202445418
1188,7.464921950937721,7.808306134794706,8.179995693191682
2664,4.791405954222501,4.8645499202659055,4.927750102386486
5663,5.4094179725937845,6.433466057689185,5.285670240254767
2457,5.044659434552816,5.061394471638562,4.899629454882437
5846,5.8050165564470655,5.76337833312494,6.318758762624412
5017,4.661291443854279,5.077698724913051,4.809668301829708
2741,6.6635318278215125,6.18201179377982,7.886056647693163
2522,5.755694983327815,5.518981935990093,6.3979400086720375
3409,2.542743299509842,2.5290292600985196,2.530177984021837
5476,4.6631872076033725,5.0987641430624535,4.658763376761308
1623,5.198851949241562,5.951705721376251,3.196542884351586
5642,5.068849939038933,5.25862404160483,4.881735273910521
3339,6.387602557390778,6.1240125406729105,6.522878745280337
2346,4.969924569065056,4.929993771846168,4.638839004804974
2008,5.260738169892188,5.437443165575301,4.385841290490825
319,8.062663917791848,8.276533239162339,7.698970004336019
747,6.96306302022596,6.561388966205361,6.515700160653214
1426,8.738715951711006,8.802739756612496,9.173925197299171
1084,5.756826398363448,5.587627548312198,5.522878745280337
2997,4.991375585622658,5.272366777994427,5.414539270491499
4377,4.904406467837276,5.386217372927037,4.522878745280337
4576,5.376595436923225,5.345013346742619,5.432973633840939
4990,6.065762155848513,5.949535255007862,6.522878745280337
4988,6.2036917179614575,5.889093872232359,6.060480747381382
1074,7.13010119816016,6.991411335296281,7.443697499232712
5509,4.1535419833814045,4.146790404378276,4.0
3614,5.675751266043642,5.03432689309402,5.200659450546418
1351,4.9788989543397095,5.1641681545974025,5.045275209020937
4013,7.28983083167675,7.323426314303961,7.522878745280337
3066,6.319968759663808,6.150636029959115,6.08600081756968
5711,5.204805113636758,5.020262687864684,4.454692883534176
1706,6.731312650015484,6.48670987780099,6.405607449624573
80,6.352834047876387,6.442674020920873,5.823908740944319
1694,6.929161557345468,6.557547827872243,7.443697499232712
3505,5.422649656648382,5.754333237970955,5.172630726946175
4396,5.627851896658485,6.248293867415502,5.0
1406,4.635276482506996,4.8565890401821825,4.161150909262744
1042,4.166750919694475,4.574000320874656,4.0
4977,5.832656674630117,5.727860017955946,5.950781977329818
6054,6.17360568319279,6.511851512332116,6.52432881167557
2344,4.876862211496648,4.773894251973781,4.645315446045271
79,5.717769622902761,6.366092264109786,4.958607314841775
3126,4.716437091643534,4.89696090258033,3.81864240797155
1335,4.308661395187513,4.085028759900978,4.301029995663981
2499,4.169401168733179,4.280783936459577,4.107905397309519
4712,7.077079320033475,7.12458163289217,6.584025588623434
3697,5.486625554008307,5.697107285938979,5.231361898752385
2944,4.40164105769065,4.497745029712639,4.292429823902063
23,5.020489065799256,5.013848798840054,4.301029995663981
1420,6.731407744430358,6.430022361256197,8.079876673709276
5435,5.854805693265609,5.691766680873677,5.958607314841775
3611,5.3226333518114455,5.147796018751693,5.207608310501746
5190,5.4853256537548605,5.558677544806821,5.809999051930338
2473,7.244107599526282,6.762153781880276,7.826813731587726
6121,4.7794304712326126,6.549900787402299,4.259637310505756
1488,8.35006591941828,8.432493595020908,8.782516055786093
3085,6.730102942929094,6.8322719012263065,7.812479279163536
3491,7.0708444563326935,6.604321940571116,6.356547323513812
1820,3.9307920927383404,4.337071684175205,3.5686362358410126
4256,3.854463235672747,3.256075531521024,3.6989700043360174
1786,7.325506318256632,7.513749595652571,7.552841968657781
501,4.522144253881552,4.528426933843792,5.283162276700476
1730,6.266919840726589,6.63213779935606,5.659159450187668
1039,8.3139868565432,7.565000970787377,9.10790539730952
263,6.517985017818035,6.688884287700353,6.721246399047171
2223,6.604565135497694,6.398599133593459,6.844663962534939
691,5.793419728470821,5.870339627969015,6.301029995663981
2110,8.201478673594723,7.662239056859291,8.599980364934842
810,5.725843286024617,5.530019816444559,6.119186407719209
4099,2.8904377836755724,3.255388775352743,2.975514332300833
4113,3.0630387359047684,3.483478319158962,3.379343520180379
4607,5.326122692086243,4.711729977256364,5.0
2932,4.475801424639955,4.355070355352827,4.0
37,6.3220867617210175,6.431617421989185,7.397940008672037
5907,4.216404362455511,4.796931330576486,6.073143291050307
4141,4.782857948750314,5.592016385973626,4.928117992693875
6012,5.746140105942168,6.687609994978149,5.346787486224656
4482,6.616960895757765,6.523728534001147,6.533132379645891
2471,7.606952257855103,7.132574080626264,7.153044674980176
3659,3.6423109001396976,4.05283984292857,3.627824713884936
5246,5.216160574983654,5.5205835762301465,5.167491087293763
1741,6.8138819538991955,6.340722648296779,5.026872146400302
4540,7.806108393385864,7.925744046624643,8.750068243365805
3089,7.170693386306106,6.809460370907496,6.400116927926312
1049,5.537594473604372,6.415161182714378,6.995678626217358
156,5.453782234807362,6.422082706484277,5.4156687756324695
3958,5.138915312067082,5.2779459307328995,5.119186407719209
4302,4.783192654429924,4.439816358320148,4.0
465,4.697979834898155,4.8813600363828344,4.0
5903,4.901534013549083,4.189788159225472,2.84740592207253
1186,7.107062482334151,6.908108531465098,7.199970640755866
2312,4.799199728993894,5.154033809310757,4.864009153078375
2995,5.176797105141493,5.03756282542307,5.146910470148135
1615,5.502698893557263,5.515992896130321,4.508638306165727
1047,5.395910119675798,5.379271687373456,3.9788107009300617
4834,5.271299841505022,5.683138394126964,5.0
2404,4.3256818883247306,4.424961743675531,4.0343280287798935
2905,6.200365914990454,5.699742242708519,6.060480747381382
3263,6.940835562996521,6.820553698233818,6.653647025549361
1005,6.473720094440845,7.539754324554778,5.008330992620052
2778,5.038851212194117,4.229763953505351,3.882728704344236
2531,5.404269069869229,5.4197087494431955,6.455931955649724
4935,5.50516183934389,6.050993554297779,5.404503778174425
84,6.319489156662927,6.124130326073978,5.346787486224656
2646,4.636013952336209,4.693487173551091,4.706637445288554
2554,6.560680496433774,6.473992322572153,7.040005161671584
3396,2.8859971013485852,2.6483301266899546,3.2596373105057563
4184,5.287704831515314,5.512177617554854,5.301029995663981
2742,6.3469486388138465,6.18201179377982,7.267606240177032
3590,5.461315396248541,5.848086495160276,5.97061622231479
5500,4.199419094190154,4.150890768393017,4.0
3006,5.249838530094037,5.133683320014569,5.252588192113577
2843,5.224530705133721,5.1197166008867825,5.115204636051019
1018,7.917729931181231,9.083979241272742,9.229147988357855
4898,5.576992250526132,4.947178586782651,5.0
1839,4.672466800293195,4.5057365892024075,4.221848749616356
1743,6.300926242054284,6.098839849095536,6.080921907623926
1963,7.8719424914733205,8.388322244590064,7.337242168318426
2611,5.634419590120947,5.476260113542622,6.149997413907539
254,5.808276081247736,5.819570073843554,5.0
2348,3.856326234791281,4.854980785891692,4.675511766692344
3886,6.06493236006371,6.361571995399694,5.714892970433188
5819,4.002373162296815,4.485973793859821,4.0
3904,4.858157138809383,5.148613441493511,5.573488738635425
2516,5.690079247764682,5.284687835526315,5.241088107602026
4517,5.107675461636606,5.051683348207896,4.698970004336019
1595,6.433250054418892,6.125499003214585,6.698970004336019
2263,7.517073663111101,7.634810370394662,9.092051478387727
4982,6.4806457656265675,6.007689208211441,6.443697499232712
6048,6.059606826298319,5.74439691962887,6.356547323513812
4697,6.0186179706244785,5.9082573967142515,6.075720713938118
1630,5.9406347381810765,6.206859575060559,6.275724130399211
4354,6.1490823637797405,5.827314261860392,5.0
472,3.6667034597796375,4.439071347860017,4.204119982655925
4567,5.28273805565694,4.801950128472275,5.292429823902063
763,4.410578790676759,4.628355074778446,4.327902142064283
3055,3.3388206759139027,3.447123509945254,3.0315170514460648
2575,5.531073601222134,5.440870211464127,5.710001024518514
5866,8.062599556484072,7.903742845555001,8.595166283380062
565,3.5634654610529295,3.5071381054172863,3.3569999954922864
2456,7.188743044662212,7.327093329774836,6.856985199745905
4760,5.880147846797883,5.394102655637327,7.512861624522813
2927,3.834664337053982,4.215058640412043,4.468521082957745
93,5.98905254626741,5.648152210803715,6.431798275933005
5811,4.214940964887799,4.267583563478169,4.884056823060945
5349,4.251798391448633,5.2652694834074,3.995678626217357
2515,5.486932559200898,5.890126149587044,5.396855627379818
5277,6.065894828447385,6.711958979353782,6.769551078621726
1921,7.44783540138448,6.549681834310772,6.939302159646388
3213,8.315492539550673,8.10955111235396,8.034328028779893
4526,6.4721250792701195,7.29141249095329,7.42021640338319
3475,5.109598878997118,5.195481900749883,4.543633966870957
5160,5.179671670909318,5.475484000490662,4.804100347590766
4774,12.397408750254819,11.020491258752125,14.30102999566398
1022,7.353630165533282,7.18523076949526,8.157390760389438
5532,4.155272252625078,4.020557900651198,4.0
5796,8.191984759112744,8.281894643202854,9.387216143280265
2135,6.1621485883497655,5.85116762156238,6.522878745280337
5770,6.7597179625196215,7.299880126627059,7.088309841246139
1374,5.706005961081221,5.732011132569908,3.5734887386354246
5333,5.07433192991115,4.788828821981133,4.672028376376989
5028,4.897329123672915,5.469385941572881,4.846490010699163
3268,6.831775910332745,4.578179688899225,7.619788758288394
4291,3.74992614252751,4.1007739888141845,4.0
5150,5.328920315759155,5.439900473202167,4.565431095965801
185,6.679356426918625,6.803948534698136,6.636388020107856
5339,4.635347174523295,4.702835410995316,4.995248844408999
3941,5.071325311876747,5.124415780941358,5.0655015487564325
3123,4.507825815878441,4.910929337536265,4.530472520812986
5579,5.922216479991753,5.624458024726614,6.769551078621726
3307,6.259783468165171,6.588853234897749,5.47755576649368
3571,7.332365021756946,7.4689812715756165,7.61261017366127
2370,5.575024557657977,7.256954116746623,6.560667306169737
221,4.660103338813364,4.556643537873409,5.0
1652,5.757216018986588,5.906841146762102,6.698970004336019
5638,5.351189088996553,5.115565489327454,4.87484417041947
65,3.626509868848455,3.511329923097208,3.4814860601221125
4248,6.070013626944524,5.940876339023758,5.0
157,7.107328915778323,7.02192360192802,6.267606240177032
5673,6.531138063231867,6.060980890021526,6.381951903287908
1038,8.870825737447147,8.754455945681972,9.537602002101044
2518,5.664461057713444,5.629167309847573,6.431798275933005
3074,5.838719077832732,6.02147862053569,6.174002988352055
5566,4.371465560340109,4.843224726027954,4.301029995663981
5086,5.380237587910532,5.074529909729538,5.0
4823,6.368355191258577,6.718485084359138,7.0
1487,8.427084515095281,8.432493595020908,8.812479279163536
3992,5.019761219447466,5.350173446705141,5.275724130399211
5957,5.116887864610687,5.076986274351836,4.3979400086720375
535,6.266919840726589,6.63213779935606,5.659159450187668
1566,7.384523461411204,6.949402960423226,7.508638306165727
1328,4.223106720943445,4.3586241331545486,4.301029995663981
31,5.710474161423569,5.710921417648752,4.0
1163,4.626633840393519,5.196028240863909,5.0
296,5.922694476410766,5.9807746627680185,8.0
3265,6.994697754838343,7.0095398270228095,8.070581074285707
5944,5.1138075979423325,5.314572443950431,4.686554629573585
604,4.384856241117239,3.4267898361004336,3.639999991045884
177,6.517985017818035,6.688884287700353,6.481486060122113
5503,4.384045566391884,4.3025924368186015,4.0
491,6.369281292952247,6.486105069348911,5.0
5775,5.972706314722079,6.3561396399858525,5.884056823060945
4994,5.677308575709055,5.805082504722013,5.552841968657781
5822,4.381890801503846,4.411098858024101,4.0
4961,5.852720882427097,5.920231852464296,6.0
3038,5.359235246494333,5.166507630694891,4.0
1272,7.037578592960789,7.4096989312834545,7.866461091629782
5917,5.657697176954543,6.175269469369605,6.756961951313706
2458,5.7469327394225,4.84886133696755,4.987162775294828
351,6.841290655600722,6.7806559591943,7.698970004336019
2034,6.0215146437416625,5.749007080976774,4.337242168318426
469,5.158088255637109,4.728072812114583,4.0
2154,5.5529254007817315,6.285360582584979,5.3979400086720375
1032,8.755034232494035,8.595208736874753,9.468521082957745
1961,7.695021958978332,8.388322244590064,7.481486060122112
672,3.422215722673461,3.531081709933522,3.0
2157,7.015285125529375,6.285360582584979,7.096910013008056
3995,4.471927641985051,6.2341873449745915,5.417936637088292
4274,5.632657123720385,5.125077934281198,4.448428026325747
3135,5.264993939747865,5.403296702849523,5.086186147616283
577,5.081955359405491,5.660573011515492,5.309803919971486
4649,3.966354939284201,3.8095416694140254,3.902395671125589
2899,5.331724612630696,5.47715502460736,4.886056647693163
506,4.60485381042577,4.531911575884725,5.082494490447453
1448,7.048472080988126,6.810791743010006,7.853871964321762
5686,4.94303058492237,6.178621181423758,6.317854923626168
3705,6.076754624986682,6.028207027665863,6.386158178123931
2559,6.333527584405772,6.4753467456353375,7.100015437450609
2232,4.766511356102083,4.898505530778189,5.4723700991286615
812,3.9230356285748718,4.561923858906516,3.3575354797578787
2095,4.797565465931583,4.60124041838022,4.640164517660112
4899,5.484722261148595,4.966460697998386,5.0
6060,6.123064283298496,6.491220976453601,6.011441043121384
5020,4.9675205211113775,5.139849833599504,4.789146634685107
4832,6.409819867920908,5.865443905500734,6.860435733824151
2029,5.79608817589786,5.749007080976774,6.568636235841013
1873,7.56677709719607,7.129225723547396,7.327902142064283
3334,5.399133042350686,4.90395463898248,4.429457060118103
5792,7.997764995338793,8.19831411081672,8.739928612014925
1729,6.211561194499356,6.63213779935606,5.96818772866963
4456,6.769882885121561,7.231213962662372,8.388276691992658
3499,5.477318899099399,4.811885214474413,5.6020599913279625
4851,7.8308940812836285,7.436835306693447,8.022276394711152
1297,5.647786368626068,5.3257687334618655,6.0762380391713
3822,5.901735690742549,5.570080830367521,4.525783735923745
5428,6.26241203439603,6.054121994396076,6.318758762624412
4240,5.0541128660113825,4.908142059594015,4.969805214643249
4813,7.4768912584972,7.733052885441143,8.500038134403809
5342,4.610820809007386,4.939379669988619,5.935542010773082
1321,4.087144363011517,4.456502404627328,4.301029995663981
5414,3.848215344749895,3.397654402515515,3.0830199526796176
3661,6.900125966392251,6.772970239742817,7.701146923590294
2671,5.636962441007514,5.435366619868479,5.749579997691106
1360,5.350893622909659,4.7926201623967755,5.0
1103,5.508066924398787,5.587627548312198,5.522878745280337
907,6.734587472190486,6.44143010897826,6.903089986991944
4428,6.755234482557095,6.655291914743175,6.453457336521869
