ECFP6_2048,rdk,lr
0.6355,0.6645,0.6589
0.7282,0.765,0.8435
0.6787,0.7158,0.7555
0.7175,0.7354,0.8061
0.6948,0.7014,0.8256
0.676,0.692,0.7599
0.6389,0.6885,0.8112
0.6835,0.7035,0.6338
0.6955,0.7437,0.7757
0.6841,0.7194,0.6813
0.6833,0.7129,0.7551
0.0279,0.028,0.0696
