ECFP6_2048,rdk,lr,lightgbm,br
0.6605,0.6947,0.8129,0.7867,0.8132
0.6819,0.6544,0.8214,0.7857,0.8218
0.7833,0.753,0.8642,0.8444,0.8639
0.7144,0.6285,0.8038,0.7977,0.8039
0.7423,0.6998,0.7928,0.7604,0.7927
0.7364,0.6417,0.8326,0.8017,0.8327
0.7429,0.7397,0.7684,0.7739,0.7682
0.7999,0.8213,0.6945,0.6997,0.6941
0.7004,0.6664,0.6377,0.6309,0.6383
0.7651,0.7538,0.7259,0.7435,0.7263
0.7327,0.7053,0.7754,0.7624,0.7755
0.0418,0.0578,0.0662,0.0569,0.0661
