ECFP6_2048,mol2vec,lr,lightgbm,br
0.6712,0.6254,0.4562,0.3983,0.4563
0.6515,0.528,0.7379,0.6816,0.7381
0.6071,0.5037,0.6623,0.6306,0.6628
0.6477,0.5458,0.6262,0.6616,0.6265
0.6082,0.5036,0.6354,0.6084,0.6363
0.6989,0.5229,0.6979,0.6862,0.6975
0.6736,0.622,0.6291,0.6171,0.6287
0.5637,0.4474,0.5306,0.578,0.5305
0.6564,0.5344,0.8056,0.7519,0.8056
0.6286,0.6074,0.5172,0.5586,0.5178
0.6407,0.5441,0.6298,0.6172,0.63
0.0375,0.0549,0.1005,0.0906,0.1004
