ECFP6_2048,mol2vec,lr,lightgbm,br
0.8631,0.8473,0.8452,0.8116,0.8453
0.8685,0.8623,0.9172,0.8966,0.9171
0.8315,0.7871,0.7839,0.7979,0.7839
0.8197,0.8423,0.7568,0.7553,0.757
0.89,0.8786,0.8202,0.7925,0.8206
0.8443,0.7958,0.9187,0.9221,0.9188
0.9147,0.879,0.8404,0.8473,0.8405
0.8656,0.7976,0.8594,0.8511,0.8592
0.885,0.8154,0.8741,0.8627,0.8741
0.8624,0.8173,0.8392,0.7829,0.8393
0.8645,0.8323,0.8455,0.832,0.8456
0.0267,0.0326,0.0489,0.0503,0.0488
