ECFP6_2048,rdk,lr,lightgbm,br
0.6606,0.6851,0.8087,0.8037,0.8086
0.6438,0.6954,0.6806,0.6524,0.6807
0.73,0.7203,0.7828,0.7697,0.7829
0.6271,0.6633,0.8151,0.8067,0.8151
0.7353,0.7429,0.7651,0.7635,0.7652
0.7347,0.7067,0.8589,0.8209,0.8586
0.6151,0.6526,0.776,0.7748,0.7761
0.6676,0.6585,0.6124,0.5722,0.6123
0.6311,0.6637,0.7132,0.6874,0.7134
0.6291,0.711,0.641,0.6438,0.641
0.6674,0.6899,0.7454,0.7295,0.7454
0.0456,0.0288,0.0764,0.0803,0.0763
