ECFP6_2048,pubchem,lr,lightgbm,br
0.8144,0.7906,0.7892,0.775,0.7892
0.7991,0.7552,0.8133,0.8099,0.8132
0.7495,0.7148,0.7912,0.7949,0.7913
0.7052,0.6574,0.8387,0.8534,0.8387
0.7129,0.732,0.8242,0.8204,0.8242
0.7611,0.7335,0.7227,0.7131,0.723
0.7745,0.7325,0.823,0.8194,0.8229
0.8029,0.7459,0.8398,0.8283,0.8401
0.8173,0.797,0.834,0.8325,0.834
0.7857,0.7443,0.8086,0.8045,0.8087
0.7723,0.7403,0.8085,0.8051,0.8085
0.0378,0.037,0.0332,0.0368,0.0332
