ECFP6_2048,pubchem,lr,lightgbm,br
0.6606,0.6409,0.7868,0.7748,0.7867
0.6438,0.6813,0.6747,0.6597,0.6747
0.73,0.6791,0.7774,0.7543,0.7775
0.6271,0.627,0.8059,0.7803,0.8058
0.7353,0.7013,0.721,0.7136,0.7211
0.7347,0.6703,0.8068,0.7587,0.8065
0.6151,0.6462,0.7625,0.7141,0.7625
0.6676,0.6285,0.578,0.5301,0.5782
0.6311,0.6362,0.691,0.6931,0.6911
0.6291,0.6338,0.6188,0.6363,0.619
0.6674,0.6544,0.7223,0.7015,0.7223
0.0456,0.0249,0.076,0.0731,0.0759
