ECFP6_2048,pairfps,lr,lightgbm,br
0.6606,0.6471,0.797,0.7851,0.797
0.6438,0.6654,0.6977,0.6505,0.6977
0.73,0.6319,0.7767,0.781,0.7768
0.6271,0.6477,0.8105,0.7965,0.8104
0.7353,0.7118,0.7422,0.7333,0.7423
0.7347,0.6878,0.8143,0.7682,0.8142
0.6151,0.6191,0.7574,0.7563,0.7574
0.6676,0.6094,0.6049,0.5725,0.6049
0.6311,0.6182,0.7278,0.6997,0.7278
0.6291,0.6384,0.6189,0.6069,0.619
0.6674,0.6477,0.7347,0.715,0.7348
0.0456,0.0309,0.0707,0.0756,0.0707
