ECFP6_2048,rdk,lr
0.7597,0.7494,0.8774
0.8055,0.7689,0.8715
0.8248,0.8683,0.7894
0.8084,0.7669,0.7789
0.8087,0.7584,0.8723
0.7864,0.7821,0.7999
0.758,0.7544,0.8299
0.7854,0.7725,0.7966
0.8097,0.8182,0.8569
0.7041,0.6808,0.8582
0.7851,0.772,0.8331
0.0341,0.0457,0.0367
