,ECFP6_2048,mol2vec,pIC50
184,5.796142515704476,6.237978231910927,4.698970004336019
1724,6.712375507576321,6.699521593124154,6.347173697438995
251,5.638549559984045,5.884261671111372,6.219682687859849
1121,4.910970927374775,4.4600302109978704,4.795880017344075
1486,6.737701420525129,6.855009182760641,6.455931955649724
111,6.977282848361216,6.794061388294796,8.154901959985743
1450,5.6900232622356475,5.906831950213019,5.200659450546418
188,5.566747969266757,6.246960700735283,6.348721986001856
614,5.361950154941595,5.116748349354516,5.886056647693163
220,6.897574474231262,7.459846682326997,7.552841968657781
1175,7.370854462088825,7.055707080489984,7.853871964321762
1794,5.9596072896510055,6.12591510907434,6.498940737782249
679,5.170064754954196,5.290679314334561,5.0
1368,5.822549218850678,5.977368683747074,5.864867348623225
544,5.597012676051754,5.672622459684615,5.508638306165727
746,5.64981765792547,5.527604429187204,6.064996848546345
570,6.027995809357399,6.3314651806031055,6.7121982700697735
1656,5.600357152702262,5.674769582460662,6.0
56,7.706473682249003,6.501339174217025,8.481486060122112
529,4.8557414508275025,5.179671471910082,5.0
486,6.015379095044694,6.389617516345287,5.958607314841775
1639,6.696646216454367,5.8478577600085275,6.164943898279883
1423,5.444533218718518,5.779269863687957,5.760700520873107
1709,6.8128994922946315,7.430276770127648,7.610833915635467
1729,6.972413989564388,7.069703700072193,7.675717544702307
1110,5.9622493554896865,5.85145703207211,5.831207979685818
1905,5.216054062107163,4.950688367996878,5.0
900,5.102802444417058,5.714900372730951,5.3979400086720375
892,5.4435658573002,5.624906122588696,5.327902142064283
381,7.1354519838414046,6.301991352055809,8.301029995663981
1187,6.893692265523124,6.874849332853541,7.207608310501746
324,7.195222184810305,7.1322837416123015,7.045757490560675
1058,5.479075686915517,5.803550059390904,4.0
1875,6.119711329589588,5.688162406231802,5.0
819,5.48593788763126,5.070037333492892,5.00436480540245
1432,5.930348554729995,6.009044853724776,5.793984123236656
1702,7.407906543940051,7.219577775422705,7.113509274827518
914,4.461224987350865,4.543509099797099,4.555174800490252
1474,6.861561267856137,6.241005493954324,6.448550002027125
479,5.62371068601984,5.781897026458098,5.795880017344075
1087,5.496683383731636,5.861101755798505,5.512437439743622
1876,5.5521698299896265,5.871052088504738,5.542118103266008
1785,6.521385689702702,5.863922564952245,7.244887733604929
543,5.218468491911236,5.201024454488729,5.0
1259,7.91916480887102,7.928215956140169,8.698970004336019
231,7.318737738252644,7.4295467474283425,7.886056647693163
1701,7.575003508773561,7.598810222029457,6.671620396561262
1916,6.117869781409675,5.324618637607155,4.214670164989233
942,4.559743401018191,4.50894602368365,4.439615077027985
1803,5.56357766796692,6.0111808368900554,5.438898616350944
792,5.107096627310998,5.16304983777576,5.0
1009,5.92066315461348,5.776652389675786,5.636388020107856
534,5.002831785145856,5.106805187181616,5.0
599,5.102607000853946,5.043516552794928,5.0
70,7.011467263380556,7.0772845718047614,7.167491087293763
809,5.7138261286401,5.3095380300583805,4.795880017344075
29,6.918410295536763,6.489798585858452,6.6777807052660805
1117,5.047978197155385,4.9984694460221135,5.972650392225243
100,5.46352895855533,5.773526054098148,6.170696227168975
693,4.698489550570606,5.401306977196609,5.0
1654,6.060955339149205,5.2253417597969465,5.0
2000,5.645041279869981,5.40153203533218,5.0
196,5.638485549378208,6.258211779980196,6.1073489661227
978,7.553691135788387,7.743377687143327,7.275724130399211
211,6.68083217040119,6.798001289753201,7.769551078621726
368,5.802847052824591,5.873888492404526,5.795880017344075
1680,5.943974176216762,5.76574229156986,6.0
1281,6.781117841265262,6.407787459528041,6.403402904373539
2042,4.677109142005436,4.5558562162788485,4.522878745280337
414,8.333065307150441,8.11071667469364,6.684029654543083
1005,7.005705981667175,6.780215046569569,6.698970004336019
968,6.149558172923184,6.462217400753094,6.229147988357855
527,5.2813094986564755,5.313545157032881,5.0
1652,6.918748046992748,6.589738862037092,6.0
650,5.581722526057698,5.031371742999057,5.0
65,7.319326322286788,6.770937278887299,8.142667503568731
1578,7.3122479185175315,7.027942393896086,8.508638306165727
654,5.083782988285743,4.995353028915752,5.0
701,5.215479521979565,4.92473253213141,5.0
1029,6.484547582438862,6.597976614154623,7.481486060122112
1328,6.756194699434168,6.820300647041969,6.909988975992853
429,8.49297237647741,8.436877937400366,7.602059991327962
806,5.317282943889473,5.464055652495921,5.7447274948966935
755,5.873810093349067,5.529455686011145,7.055517327849832
535,5.180511465119485,5.1626248596435955,5.0
1604,7.206241893443557,6.987764593284254,7.795880017344075
1582,7.344876341529258,6.845761044694003,7.356547323513812
382,7.278370181776289,6.253915154450546,7.443697499232712
670,4.978633003589284,5.0024179928882155,5.0
1043,5.378027015576222,4.797400213855819,5.309803919971486
772,5.332216614157297,4.990476551478433,5.468521082957745
834,6.954523103804576,7.2060522026546225,7.119186407719209
305,6.983220165092358,6.63338185328086,7.0
2008,5.609911135136977,5.603273558124326,5.324221658325915
1612,6.277247593133279,6.861624000226497,5.0
321,6.961875504414921,6.51986220042472,5.823908740944319
316,6.693977537621092,6.58904155857334,7.0
1322,5.6580385171915175,5.942113573630585,5.6099998081597775
1385,5.369759039017611,6.017552587741174,5.16083631708535
2035,4.764375696610195,4.81503365697693,4.823908740944319
1778,6.902543433251987,6.89794760342188,7.634512015109101
1882,7.004224132160265,7.026717499171481,6.886056647693163
1163,7.052325117228967,7.247903200326821,7.657577319177793
879,8.003115796588876,7.864814791235064,8.221848749616356
1583,7.42203397011756,7.322923196050075,7.107905397309519
1476,6.47693053180723,6.3107988256871925,6.0
715,5.479075686915517,5.803550059390904,4.0
741,5.160411899395578,4.960826584154136,5.0
478,6.242178909882347,6.265984470068501,5.3979400086720375
1668,6.21400212245693,5.924325383400428,6.0
210,7.149966608041628,7.059739848253087,6.892790030352131
69,8.506526245852134,8.889233896301498,8.958607314841775
233,7.227702858395336,6.801342548476709,8.173925197299173
582,4.93751307776098,5.707530225972229,5.0
720,7.515809879749638,6.880823647798181,8.096910013008056
862,5.028632096860814,5.101364050498536,5.0
124,6.724103569603654,6.645907694870535,5.778064400171995
254,4.7488963199406,5.235348607685909,5.0343280287798935
707,5.063521621802233,5.058291025612019,5.0
2007,5.44602904860109,5.462811212173276,5.995678626217358
1568,7.098755398238283,6.708264445244977,7.448550002027125
128,5.837149246917648,6.189127896714918,7.692503962086787
99,8.079223707539613,7.968103592220622,7.376750709602099
832,6.8529127161566095,6.971496721950749,7.182434630440219
617,5.1040385733205,5.364892159655098,5.0
752,5.615759959962184,5.162260928046364,5.522878745280337
538,5.059267530859336,5.205315644018712,5.0
374,5.677436099959608,5.331243638061236,5.3979400086720375
1952,4.60088920328287,4.65806879881736,4.8344589232776265
1664,5.835914134269409,6.371567180592991,6.0
351,7.068993252990805,6.860449870575676,6.4089353929735005
1384,5.917719716922056,5.912296964691936,6.078313524516398
1530,6.794183536003949,6.98177334013863,6.657577319177793
1992,5.568459923689417,5.921640461617361,5.0
1269,7.412489130813955,7.694208506215865,7.585026652029182
1036,4.904698651553316,5.462233941277888,5.022276394711152
904,5.439439189434377,5.428941984667194,5.0
420,8.299118072572625,8.550972374297011,8.537602002101044
943,4.473859450873343,4.482373169874941,5.067779986122881
275,7.15363744974277,6.81618642787573,7.397940008672037
507,5.031144540205887,4.984313580870532,5.337242168318426
706,5.047306226246287,5.0934889694938255,5.0
1662,5.717161430354935,6.780782597254738,7.154901959985743
2018,5.158607491150496,5.382441463185081,5.657577319177793
1888,6.569833971373602,5.906149272520244,7.045757490560675
1424,5.5278183833623356,5.3343906472139055,5.536107011014093
1305,5.766134385765409,6.119181664095582,6.275724130399211
1037,4.904698651553316,5.462233941277888,6.128427064454121
590,4.825240920672163,5.131451830160465,5.0
1726,7.626818607885805,7.175469391768369,7.305394801066432
973,6.145948147881254,6.541583412019084,6.452225294612178
212,7.434120669069131,7.403308521971363,5.920818753952375
2006,5.739394860088415,5.940474203868915,5.605548319173784
555,5.923457126530165,6.028276375166781,5.521433504406157
519,5.025915621758419,5.140116239748346,5.0
1854,5.524245716590495,5.290841858495936,5.3872161432802645
572,5.840623187627935,5.828110863938889,5.614393726401688
1050,6.217467212790537,6.408156499127828,6.58838029403677
1342,6.324100775915047,6.399509871504862,6.799998134593398
963,5.391607537754597,5.081703038311657,5.3979400086720375
1427,4.914984346518335,5.030782588369639,5.737074530668169
922,6.654238422930923,6.089496463509516,6.777283528852417
1611,5.932240618346891,6.378156293168329,5.346787486224656
781,4.8353290723444085,5.089476046683605,5.0
1720,6.6850331414674615,6.916864620262305,6.219466674683596
1624,6.434304419387472,6.646736374567434,6.069407511557402
936,5.407960661458034,5.026790034559738,5.0
239,6.660514376405577,6.343676687467717,7.207608310501746
1313,5.338498532996392,5.469621627966211,5.470000200122707
1477,6.503102491461885,6.1551081236395575,7.1938200260161125
993,7.774304590645815,7.468597293613691,5.0
1710,7.438922205504358,6.637338289418539,7.481486060122112
1559,7.143635447322578,6.825754309448527,7.001740661576301
1111,5.894569897250725,5.655473723264786,5.727694155597914
115,6.124050897941155,5.894188629491121,7.522878745280337
1198,6.637559335035421,6.666221477986682,6.903089986991944
1919,4.7654305098599075,4.4781439928097955,4.403402904373539
1116,5.178566166694647,4.36366760446945,6.200659450546418
1640,6.232262869518288,6.054265751879141,6.267606240177032
1717,6.9659389737825,6.989461799137795,7.028260409112222
909,5.112982765072562,5.07530596910735,5.301029995663981
1599,7.439663998978099,7.155017913136045,7.42021640338319
1902,5.393843292510224,5.0894585461616435,5.0
530,5.151494654787658,5.134195751519525,5.346787486224656
237,6.168431883488101,6.154225601918371,5.563837352959244
1971,5.1470602775418826,4.925869058792451,5.018634490921456
1509,5.317672787624221,5.136188823052041,4.735182176990463
1200,6.637559335035421,6.666221477986682,6.954677021213342
1996,5.6990947928472675,5.698668215833902,5.785156151952302
1331,7.226413457435183,6.706749753138074,7.169989064063882
366,5.105808453745752,5.6943829159544155,5.3979400086720375
120,5.046099959402804,4.801590944498855,6.2839966563652006
1655,6.060955339149205,5.2253417597969465,5.0
1137,6.326143289595148,5.856575837640623,5.542118103266008
651,5.482324847142839,5.274323075686625,5.0
453,6.771358854041417,6.904066848585887,6.742321425130816
1165,7.370854462088825,7.055707080489984,7.33161408331
297,6.908787362203785,6.61215387554054,7.0
135,6.906577485346113,7.16863662601086,7.801342913045577
354,7.068993252990805,7.709265512148839,7.154901959985743
585,4.728672274099454,5.00881278992635,5.537602002101044
999,7.128371966532532,6.72854294581809,5.958607314841775
342,6.2216681035744985,6.060994487121852,6.267606240177032
610,4.868477292382466,4.952629692377653,5.0
1466,5.679661953542789,5.764015876059669,5.522878745280337
1006,6.4302245385005685,6.355430336947512,5.552841968657781
1645,6.668187964086635,5.990320867700867,6.481486060122113
109,6.7676519527863155,6.739521607002008,8.045757490560675
1964,5.604526933358538,5.362903862586045,4.853871964321762
1988,5.372667066184782,5.5377411907906025,5.982966660701219
1811,5.649988254502337,5.584656576466683,5.560825260156531
281,6.426030016670493,6.805878628186822,6.548213564475709
1352,7.916442149887604,7.532307411894933,9.1249387366083
1962,5.1189947870214585,5.463906295741701,5.170053304058364
1837,4.635555191700632,4.698690422626531,3.962573502059376
63,6.8445140860205615,6.347293634303806,7.924453038607469
1314,5.412124539452022,5.585109527744204,6.0
548,5.998517757384923,5.545190323293767,6.764471553092451
1090,6.545413480129591,6.393485437329019,6.673664139071248
1404,5.953094457834546,5.878979142174024,5.648783654660658
812,5.6813422825474165,5.242397260745931,5.1938200260161125
1502,5.175593628574333,5.694093552672719,5.698970004336019
637,5.091126433820307,5.0656365595738615,5.0
1004,6.706050508561863,6.423677040088279,7.229147988357855
383,7.641313663599944,6.272061114256761,7.958607314841775
1173,7.052325117228967,7.247903200326821,8.154901959985743
483,6.681279632525044,5.879126272972085,6.903089986991944
893,5.286938835795748,5.3087493460065485,5.0
705,5.0185960706777335,4.976317187827288,5.0
1084,5.481640907282983,5.593609026201143,5.3979400086720375
307,5.393824594426289,6.010083202758992,4.889410289700751
247,5.794466795373574,5.901890161767168,5.0
464,6.891494084516642,7.028519938648582,6.537602002101044
1692,6.529421599121683,5.616232647657842,6.756961951313706
485,5.55196222149956,5.599049880150964,4.356547323513812
1387,4.8951675960325876,5.195490884832968,5.687611050629408
2038,4.911110781192112,4.717651995825328,4.522878745280337
1309,6.214641683468806,6.889472654869685,7.214670164989233
1498,5.393709470159169,5.895843356107738,6.460923901207224
121,6.15598555600752,6.1774693921228625,7.481486060122112
985,6.005361800621324,5.604339027229237,6.161150909262744
23,7.392013628649337,6.489798585858452,6.481486060122113
350,7.0227567128233455,6.704781889411966,5.698970004336019
588,4.974801640163401,5.0681570071484945,5.0
427,8.139244151729944,8.564794312512308,8.769551078621726
1601,6.574792603573336,7.373207519426421,6.522878745280337
1855,5.524245716590495,5.290841858495936,5.823908740944319
836,8.051813619068632,7.488521817213716,8.017728766960431
1998,5.863090387598637,5.875360095224029,5.429457060118103
49,7.560735442224954,7.563558093265902,7.876148359032914
173,7.935967381491751,7.565117834418402,8.215382707367125
849,8.169001867820548,8.006104851558673,8.192464971931146
289,7.0983790126495006,6.902840240763131,6.732828271596986
1808,7.1960732380155195,7.399534056521991,5.1664704182413566
1810,5.531468449327025,5.785839661559367,5.251811972993799
1144,6.768842734446261,6.575227321786939,6.935542010773082
422,8.49297237647741,8.436877937400366,8.508638306165727
1229,6.533284071106137,6.7386776559413315,7.0
1181,7.670025660607348,7.601365831338637,9.431798275933003
583,4.954752775885095,5.009987069002188,5.200659450546418
1703,7.049219649207706,7.397716849432598,7.072116589669293
306,7.030271234663767,7.127897343992256,6.508638306165727
2015,5.102301907565303,5.293173199912189,5.3979400086720375
736,5.004513899382758,5.037551595945077,5.0
889,5.201079370979234,5.617248554399892,5.568636235841013
450,6.722800591371267,6.287162406188572,7.008773924307505
256,5.567395567896153,5.560400256875773,6.120904120499927
630,5.396722367330459,4.958932328228266,5.0
1618,6.285070787387869,6.784748008945906,6.795880017344075
1063,5.159025291991368,6.6072101592464065,6.3448615651886175
1999,5.886197479795922,5.400078083996201,5.0
771,5.34182208489729,5.252412200343916,5.096910013008056
1023,6.324509927102077,6.3993035977463615,6.567030709125595
1743,6.920889008003616,7.320552424172842,7.229884705212898
1091,6.545413480129591,6.393485437329019,5.221848749616356
482,6.681279632525044,5.879126272972085,6.913640169325252
780,5.812189676832541,6.3151699017821326,5.337242168318426
299,6.460944463174382,6.242780447852579,7.0
1220,7.244027333365281,7.583390172500718,5.298173069602861
1671,5.997745569550874,5.504010148332824,5.318758762624412
1826,7.10026823267182,6.659857009773134,5.941194513324093
270,7.155742317392946,6.540269984294192,5.267606240177032
361,5.546486608498732,5.933705855932111,5.3979400086720375
432,6.624771620205008,6.237848907706739,7.632644078973981
785,5.040705204849086,5.099528450572609,5.0
298,6.738214274424219,6.231717470717825,7.0
393,7.255510053385627,7.813825824131601,8.55284196865778
25,7.843942273396233,7.474061109777367,7.910094888560602
1303,6.18046203728554,6.280986091943282,5.818156412055227
78,7.072189755425616,7.012458246053229,7.136677139879544
865,5.937987795022793,5.617930870197516,5.950781977329818
32,6.63399707136851,6.5189008322293835,6.301029995663981
1453,6.466046089309117,5.853623919617011,5.522878745280337
1235,6.1548024193299256,6.078490562821522,6.42021640338319
873,6.936899859116155,7.247247448618247,7.795880017344075
1830,4.321966199420039,4.545738683199103,4.359518563029578
163,6.284211059565687,6.790264378990107,4.486782399932061
203,5.815633882926905,5.969923689094837,5.782516055786093
1375,5.859389863410293,5.641305242117804,6.000869458712629
952,5.96716281114276,6.779086362020874,6.522878745280337
817,5.557262668865888,5.606196266223245,5.267606240177032
966,5.504310634264032,5.625052769659547,4.522878745280337
1114,6.34515272516377,6.56494071879983,5.590066876668706
416,8.139244151729944,8.564794312512308,7.804100347590766
2026,6.090718833659397,6.1200754440086005,6.0
1766,7.066674609596639,7.055354649985754,7.199282921717615
2048,5.739679180758535,5.39634341554738,5.060880282351513
1483,6.677239984154316,6.884431919208381,7.4089353929735005
1414,5.209485978140391,5.651966378953852,5.500450374094851
218,5.399191386920702,5.0964932765100155,5.522878745280337
1991,5.327303723763476,5.7450303225934105,5.0
905,4.8779794827742995,5.016271369134703,5.0
1797,5.934555136826517,5.989165422636625,6.216096420727265
1067,6.1636669623179055,6.187361857314426,6.073143291050307
743,6.732052922528951,6.408522073676537,7.769551078621726
59,7.500663524729638,8.021775179479066,8.568636235841012
607,4.957674375507803,5.70878852045737,5.0
1827,6.542741925650933,6.232972541882979,6.402304814074488
73,6.660681193041364,6.2322280368261636,6.6252516539898965
162,6.528175860851509,6.409715753127515,6.269217724333611
367,5.93711866251746,5.871211759012752,5.638272163982407
1923,5.153772573144486,5.358485803797482,4.422508200162775
581,5.064215022276915,5.149969804015726,5.0
1078,6.025589020139124,6.572445613618458,7.0
1564,7.0792569598619055,6.977238364019924,7.283162276700476
1475,6.4396001701133585,6.00835848782777,6.0
45,7.104776573249083,7.43183923005204,8.221848749616356
1965,4.816776016632626,4.7590574669778585,3.9800533183211577
818,6.4001332618889855,6.2599877999403475,7.443697499232712
