ECFP6_2048,pairfps,lr,lightgbm,br
0.8144,0.7963,0.816,0.808,0.816
0.7991,0.7218,0.8364,0.837,0.8365
0.7495,0.7138,0.7265,0.746,0.7272
0.7052,0.7146,0.806,0.8067,0.8062
0.7129,0.7031,0.8422,0.8446,0.8424
0.7611,0.7614,0.6976,0.6544,0.6977
0.7745,0.7028,0.821,0.8195,0.821
0.8029,0.789,0.817,0.7901,0.8171
0.8173,0.8097,0.8608,0.8274,0.8608
0.7857,0.7574,0.8383,0.8198,0.8385
0.7723,0.747,0.8062,0.7954,0.8063
0.0378,0.0389,0.0498,0.0538,0.0497
