ECFP6_2048,pairfps,lr
0.6355,0.6195,0.6534
0.7282,0.7118,0.8335
0.6787,0.6628,0.7057
0.7174,0.6973,0.801
0.6948,0.6681,0.7772
0.676,0.6783,0.7604
0.6389,0.6586,0.8235
0.6835,0.6397,0.6806
0.6955,0.7399,0.7871
0.6841,0.6346,0.6772
0.6833,0.6711,0.7499
0.0279,0.0351,0.0621
