ECFP6_2048,rdk,lr,lightgbm,br
0.8631,0.8567,0.8494,0.8376,0.8496
0.8685,0.8296,0.9043,0.869,0.9047
0.8322,0.7516,0.8088,0.8001,0.8087
0.8199,0.8301,0.7596,0.6923,0.7598
0.89,0.8777,0.8568,0.8752,0.8567
0.8447,0.8217,0.911,0.9052,0.9109
0.9147,0.9065,0.8598,0.8758,0.86
0.8656,0.8432,0.8927,0.8855,0.8925
0.885,0.8559,0.8717,0.8716,0.8726
0.8623,0.7613,0.8757,0.8759,0.8754
0.8646,0.8334,0.859,0.8488,0.8591
0.0265,0.0453,0.0434,0.0588,0.0434
