ECFP6_2048,mol2vec,lr
0.7597,0.6828,0.8522
0.8055,0.7226,0.8628
0.8248,0.8074,0.778
0.8084,0.691,0.7427
0.8087,0.7134,0.8639
0.7864,0.7131,0.7689
0.758,0.68,0.8064
0.7854,0.7387,0.7909
0.8097,0.7128,0.8569
0.7041,0.665,0.8757
0.7851,0.7127,0.8198
0.0341,0.038,0.0454
