ECFP6_2048,mol2vec,lr
0.6355,0.6311,0.667
0.7282,0.6925,0.8214
0.6787,0.6657,0.7568
0.7175,0.6552,0.8029
0.6948,0.6223,0.75
0.676,0.6392,0.7505
0.6389,0.6417,0.8157
0.6835,0.631,0.6758
0.6955,0.7083,0.7753
0.6841,0.5998,0.6938
0.6833,0.6487,0.7509
0.0279,0.0311,0.0533
