ECFP6_2048,pairfps,lr
0.6904,0.6933,0.7135
0.7515,0.7267,0.6325
0.5414,0.5288,0.7865
0.6566,0.6372,0.6475
0.6818,0.668,0.7927
0.6815,0.6852,0.3521
0.6713,0.6428,0.4842
0.6221,0.5862,0.752
0.6267,0.6297,0.7551
0.616,0.5933,0.281
0.6539,0.6391,0.6197
0.0535,0.0554,0.1755
