,ECFP6_2048,pairfps,pIC50
305,4.090821187276723,3.801239583728413,4.1249387366083
1283,8.689205881999408,8.677162080272923,9.0
368,5.35798295351821,4.69908638653444,5.096910013008056
479,7.240525873567885,7.329415242586196,8.050609993355087
1537,7.623930243696178,7.6164643419550755,8.09151498112135
1674,8.347053072156308,8.401018677147952,8.221848749616356
519,2.4348551341085,2.820540134811243,2.9281179926938745
1982,4.39676923742039,5.004229575379208,3.87942606879415
1873,5.40517102912756,5.516860425790669,4.370590400897281
100,6.724854085971805,7.379740078169069,6.663540266151471
1261,7.652745080674335,7.550439467501294,8.537602002101044
111,3.219776356177563,3.4040080270102444,3.0
1822,8.917178827630014,8.610574794474541,8.886056647693163
70,6.056411971720372,6.22244804368365,6.159266765388193
1107,8.814606290693233,8.982788718397561,9.0
1007,8.93555312060253,8.956011494866553,9.0
530,2.8284319545296976,2.2228453746299492,3.309803919971486
982,8.676583306489581,8.959649844236326,9.0
361,5.235086948193439,5.1790629996613,5.1938200260161125
707,6.055200050867213,5.8922584469903,5.721246399047171
56,4.468261528558281,4.707893937084937,4.3979400086720375
818,6.346579991860315,5.817455639606158,6.7447274948966935
1073,8.840010553769556,8.69327023079462,9.0
281,6.144333004560789,6.3408235831815265,5.0
1259,7.1845916119728415,6.98272313685504,5.764471553092451
1473,7.509215221955109,7.632569044060038,7.568636235841013
1120,8.76871457976892,8.877425751131067,8.920818753952375
1316,8.306325311462952,8.59081347816202,8.142667503568731
618,6.454532715333825,5.972400915194067,6.958607314841775
1860,4.577079626438268,4.709200033014841,4.642065152999546
1566,8.749083034193328,8.699744803808326,8.2839966563652
211,6.477905414877232,6.835104976010733,7.080921907623926
1298,8.580297719834796,8.49803364302642,8.337242168318426
1861,4.637601871072692,4.420499166035894,5.481486060122113
1652,7.589683816966553,7.472733610165995,8.657577319177793
1953,5.289169683201901,6.118039990914042,6.075720713938118
124,6.1381269906031095,5.715748871878441,5.301029995663981
422,6.185398489792255,6.016516348486382,5.795880017344075
1587,8.396090264994811,8.706393918319728,8.327902142064282
1089,8.746150808726023,9.010821755971696,9.0
1144,8.810729579730681,8.98190144916068,9.0
561,3.9706105591196845,4.461127449231412,4.522878745280337
865,5.110536345073106,5.404527361557093,5.0
464,7.7717397271852136,7.926995323725229,8.119186407719209
29,5.735873907322763,5.754204894154401,6.0
1972,4.732887411755889,5.107735805807271,5.899998417198648
471,6.356764820519735,5.247709910340149,6.886056647693163
942,9.795678175558052,9.444808791289393,9.522878745280336
602,6.80512695070313,7.211793884978169,6.6777807052660805
746,6.049899123851069,4.7155470432249444,4.853871964321762
350,6.030629397421639,6.067140388375656,8.522878745280337
196,5.74158141118649,5.942089276494654,5.221848749616356
1449,7.416566164632416,7.445478145459423,7.267606240177032
394,5.179061613472418,5.4828227767279465,4.920818753952375
1420,8.858600528979794,8.794240887369297,9.0
485,2.026029670574357,3.1437552235264556,3.408935392973501
1317,8.927958472789687,8.88277321574672,9.0
1809,8.699050763978724,8.530276993767783,8.67778070526608
1824,8.955983222756595,8.734001839259252,9.0
1057,8.495412859773857,8.717171215027578,8.522878745280337
607,7.296105669790324,7.218139979865233,5.275724130399211
637,7.841203133640825,7.145611545819486,7.366531544420414
538,5.068649100722871,4.157917085353886,3.5228787452803374
745,5.280190883766055,5.233746557301559,4.853871964321762
576,5.239788470645397,6.513976762404965,4.481486060122113
994,9.027820817465509,9.143325715412672,9.0
65,4.692550942751695,4.6113049382547455,4.346787486224656
1565,8.58610948564907,8.699160924302461,8.2518119729938
2022,5.6410953120516405,5.615394535764817,5.114073660198569
999,8.908322212558478,8.961834142249039,9.0
582,7.211819837513518,7.6904340182830735,7.619788758288394
704,6.5370723825305195,6.337402374896662,6.508638306165727
1210,7.704080668582216,7.947760255815279,8.013228265733755
1599,8.690344684549913,8.429448177534852,8.769551078621726
1102,9.0057756715259,8.883262210201833,9.0
921,8.860895092278252,8.231993182913703,8.522878745280337
414,6.007280548859982,5.890015076730973,6.096910013008056
450,4.919422335918697,4.766407471364573,5.0
889,7.393566632450611,7.333205185959654,7.356547323513812
128,3.093369806544709,2.933911440779705,3.0
1820,8.524045367980362,8.50827942956128,7.97061622231479
554,5.346436531062898,5.7842090038698295,4.120330794367947
944,9.072959344904003,8.812843891067752,9.522878745280336
298,6.403787118698977,6.749018461963084,7.221848749616356
231,5.21852263205558,5.421892280253421,4.795880017344075
1146,8.918288217727628,8.87101576876465,9.0
1027,8.8690915732544,8.844306094553415,8.744727494896694
861,5.152685172634532,5.400667763576904,5.0
1425,9.082817804378642,9.108274391456819,9.0
307,5.283851090259527,4.842455303416694,6.7447274948966935
1078,8.84969220655083,8.711710061067562,8.886056647693163
210,5.587770898734509,6.103846912190955,5.823908740944319
344,7.243132625459465,6.492283565658862,7.075720713938118
1336,8.909015688377709,8.661897719975496,8.853871964321762
1100,8.757774854005323,8.974557995364833,9.0
914,8.623014730936562,7.9948007950915745,9.522878745280336
1208,8.451228004974356,8.331203622749625,8.468521082957745
