ECFP6_2048,pubchem,lr,lightgbm,br
0.8632,0.8127,0.8384,0.8662,0.8384
0.8685,0.8311,0.9282,0.8879,0.9283
0.8324,0.724,0.7943,0.7743,0.7944
0.8199,0.847,0.7854,0.7796,0.7855
0.89,0.8502,0.8526,0.8605,0.8526
0.8447,0.8051,0.9133,0.9111,0.9132
0.9147,0.8815,0.8188,0.8433,0.8195
0.8656,0.8263,0.8864,0.8795,0.8862
0.8851,0.8495,0.8729,0.8718,0.8731
0.8623,0.7837,0.8795,0.8971,0.8793
0.8646,0.8211,0.857,0.8571,0.8571
0.0265,0.0415,0.0456,0.0439,0.0455
