ECFP6_2048,pairfps,lr
0.7662,0.7195,0.8536
0.7743,0.7719,0.8249
0.6876,0.7284,0.7976
0.7542,0.7486,0.7621
0.7042,0.6983,0.8733
0.7485,0.7198,0.8403
0.7792,0.7688,0.7887
0.6921,0.6724,0.597
0.778,0.7863,0.7195
0.6765,0.6653,0.4702
0.7361,0.7279,0.7527
0.0391,0.0393,0.1209
