ECFP6_2048,pubchem,lr
0.6355,0.6252,0.6545
0.7282,0.7107,0.8134
0.6787,0.6713,0.7184
0.7174,0.6957,0.8115
0.6948,0.6465,0.7772
0.676,0.6525,0.7593
0.6389,0.6792,0.8117
0.6835,0.6384,0.6809
0.6955,0.7166,0.7659
0.6841,0.6645,0.6434
0.6833,0.67,0.7436
0.0279,0.0291,0.0621
