ECFP6_2048,rdk,lr
0.6904,0.6536,0.752
0.7515,0.7082,0.6645
0.5414,0.5359,0.7783
0.6565,0.6735,0.521
0.6818,0.6465,0.8068
0.6815,0.6887,0.37
0.6713,0.6426,0.5479
0.6221,0.624,0.7571
0.6267,0.6242,0.7401
0.616,0.6049,0.373
0.6539,0.6402,0.6311
0.0535,0.0458,0.1581
