"","ChEMBLID","Fingerprints","r2","fingerprint_combination"
"548","ChEMBL248","ECFP6_2048",0.8656,"pairfps"
"549","ChEMBL248","ECFP6_2048",0.8851,"pairfps"
"550","ChEMBL248","ECFP6_2048",0.8623,"pairfps"
"551","ChEMBL248","pairfps",0.8702,"pairfps"
"552","ChEMBL248","pairfps",0.8452,"pairfps"
"553","ChEMBL248","pairfps",0.7813,"pairfps"
"554","ChEMBL248","pairfps",0.8561,"pairfps"
"555","ChEMBL248","pairfps",0.8853,"pairfps"
"556","ChEMBL248","pairfps",0.8391,"pairfps"
"557","ChEMBL248","pairfps",0.9095,"pairfps"
"558","ChEMBL248","pairfps",0.8165,"pairfps"
"559","ChEMBL248","pairfps",0.8587,"pairfps"
"560","ChEMBL248","pairfps",0.8344,"pairfps"
"561","ChEMBL248","lr",0.8478,"pairfps"
"562","ChEMBL248","lr",0.9393,"pairfps"
"563","ChEMBL248","lr",0.7916,"pairfps"
"564","ChEMBL248","lr",0.7845,"pairfps"
"565","ChEMBL248","lr",0.8489,"pairfps"
"566","ChEMBL248","lr",0.9009,"pairfps"
"567","ChEMBL248","lr",0.8691,"pairfps"
"568","ChEMBL248","lr",0.8742,"pairfps"
"569","ChEMBL248","lr",0.8724,"pairfps"
"570","ChEMBL248","lr",0.8581,"pairfps"
"571","ChEMBL248","ECFP6_2048",0.8631,"rdk"
"572","ChEMBL248","ECFP6_2048",0.8685,"rdk"
"573","ChEMBL248","ECFP6_2048",0.8315,"rdk"
"574","ChEMBL248","ECFP6_2048",0.8197,"rdk"
"575","ChEMBL248","ECFP6_2048",0.89,"rdk"
"576","ChEMBL248","ECFP6_2048",0.8443,"rdk"
"577","ChEMBL248","ECFP6_2048",0.9147,"rdk"
"578","ChEMBL248","ECFP6_2048",0.8656,"rdk"
"579","ChEMBL248","ECFP6_2048",0.885,"rdk"
"580","ChEMBL248","ECFP6_2048",0.8624,"rdk"
"581","ChEMBL248","rdk",0.8567,"rdk"
"582","ChEMBL248","rdk",0.8296,"rdk"
"583","ChEMBL248","rdk",0.7516,"rdk"
"584","ChEMBL248","rdk",0.8301,"rdk"
"585","ChEMBL248","rdk",0.8777,"rdk"
"586","ChEMBL248","rdk",0.8217,"rdk"
"587","ChEMBL248","rdk",0.9065,"rdk"
"588","ChEMBL248","rdk",0.8432,"rdk"
"589","ChEMBL248","rdk",0.8559,"rdk"
"590","ChEMBL248","rdk",0.7613,"rdk"
"591","ChEMBL248","lr",0.8494,"rdk"
"592","ChEMBL248","lr",0.9043,"rdk"
"593","ChEMBL248","lr",0.8088,"rdk"
"594","ChEMBL248","lr",0.7596,"rdk"
"595","ChEMBL248","lr",0.8568,"rdk"
"596","ChEMBL248","lr",0.911,"rdk"
"597","ChEMBL248","lr",0.8598,"rdk"
"598","ChEMBL248","lr",0.8927,"rdk"
"599","ChEMBL248","lr",0.8717,"rdk"
"600","ChEMBL248","lr",0.8757,"rdk"
