ECFP6_2048,mol2vec,lr,lightgbm,br
0.8144,0.7378,0.8051,0.8117,0.805
0.7991,0.6779,0.8092,0.8189,0.8091
0.7495,0.6849,0.7917,0.7933,0.7917
0.7052,0.6627,0.8275,0.83,0.8274
0.7129,0.6793,0.8196,0.8191,0.8197
0.7611,0.6983,0.6982,0.6754,0.6985
0.7745,0.6371,0.7844,0.7683,0.784
0.8029,0.729,0.8056,0.788,0.8061
0.8173,0.7666,0.8492,0.8353,0.8491
0.7857,0.6954,0.8174,0.7958,0.8177
0.7723,0.6969,0.8008,0.7936,0.8008
0.0378,0.0362,0.0383,0.044,0.0383
