ECFP6_2048,pubchem,lr,lightgbm,br
0.6605,0.7629,0.8334,0.8487,0.8335
0.6818,0.6282,0.8223,0.81,0.822
0.7833,0.75,0.8463,0.8502,0.8465
0.7144,0.6481,0.8104,0.8179,0.8107
0.7417,0.6585,0.8014,0.7612,0.8012
0.7364,0.579,0.818,0.7606,0.8179
0.7429,0.674,0.8008,0.8117,0.8005
0.7999,0.7936,0.6917,0.7099,0.6916
0.7004,0.6468,0.6666,0.6669,0.6671
0.7651,0.7546,0.7315,0.7483,0.7319
0.7326,0.6896,0.7822,0.7785,0.7823
0.0418,0.0669,0.0594,0.0569,0.0593
