ECFP6_2048,pairfps,lr,lightgbm,br
0.8631,0.8702,0.8478,0.8161,0.8477
0.8685,0.8452,0.9393,0.9106,0.9393
0.8322,0.7813,0.7916,0.7829,0.7917
0.8197,0.8561,0.7845,0.7845,0.7845
0.89,0.8853,0.8489,0.8568,0.8491
0.8451,0.8391,0.9009,0.9102,0.9009
0.9147,0.9095,0.8691,0.8472,0.8693
0.8656,0.8165,0.8742,0.885,0.8741
0.8851,0.8587,0.8724,0.847,0.8727
0.8623,0.8344,0.8581,0.8241,0.8579
0.8646,0.8496,0.8587,0.8464,0.8587
0.0265,0.034,0.0436,0.0437,0.0436
