ECFP6_2048,pairfps,lr,lightgbm,br
0.6711,0.6708,0.4162,0.3583,0.4162
0.6515,0.6213,0.7452,0.7456,0.7457
0.6071,0.5171,0.6686,0.6531,0.6696
0.6477,0.6167,0.6754,0.6575,0.6752
0.6082,0.6248,0.5956,0.5797,0.5964
0.6989,0.6341,0.6885,0.6675,0.6882
0.6736,0.634,0.5601,0.5293,0.5599
0.5637,0.4926,0.5445,0.576,0.5453
0.6564,0.6799,0.8024,0.7397,0.8024
0.6286,0.6498,0.5591,0.5785,0.5593
0.6407,0.6141,0.6255,0.6085,0.6258
0.0375,0.0583,0.1067,0.1075,0.1067
