MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,pIC50
6.272305903855777,6.272305903855777,0.48083464146550314,0.48083464146550314,0.5085487041896477,370.4560000000002,348.2800000000001,370.179361324,140,0,0.14586744051661818,-0.4573614287892559,0.4573614287892559,0.14586744051661818,0.9285714285714286,1.7142857142857142,2.5357142857142856,16.48055177486946,10.060155620978295,2.2256123469929294,-2.1174398387283446,2.390849900387614,-2.039209730904065,6.003826470320573,0.4827056029208621,3.3732536271502283,1.6016809450339358,1114.1225714153015,18.924074484064487,15.583869701175068,15.583869701175068,13.792826335683712,9.737761900388675,9.737761900388675,7.288787697623067,7.288787697623067,5.480715458040776,5.480715458040776,4.139769157723866,4.139769157723866,-3.339999999999999,6621035.712384976,16.80622527805116,6.999967443278681,2.986828674591261,163.3579992778363,15.03763007875359,29.291383739935107,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,43.173478588160066,42.67056301139546,17.802135892458033,5.386224214464796,4.736862953800049,16.85126421306755,0.0,14.53505668968577,0.0,31.725127320852,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,14.53505668968577,0.0,0.0,31.725127320852,67.12146726253211,0.0,22.160304418626513,0.0,65.96000000000001,0.0,0.0,0.0,0.0,11.85970360698299,33.659328085194325,25.683286491704038,6.3273200747645415,48.53093654769288,26.79826732976046,10.470530430962235,8.312198759133283,0.0,8.80920150623253,0.9224639917695476,9.299130479492582,2.127681563366087,18.385465176377284,8.643858523628683,0.0,0.0,0.21739130434782608,28,2,5,1,0,1,2,2,4,5,1,5,4,1,0,1,5,5.587900000000004,111.39740000000003,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.853871964321762
10.41550489141752,10.41550489141752,0.015034420864076914,-0.36454795341353274,0.5369479375552824,386.45500000000015,364.2790000000001,386.174275944,146,0,0.1459588299444839,-0.45738384525978526,0.45738384525978526,0.1459588299444839,0.9655172413793104,1.7241379310344827,2.4482758620689653,16.48055229566699,10.06243795841353,2.2916362951644462,-2.1675314342274006,2.388465679310622,-2.173332881889532,6.002838126158388,0.13802957029296148,3.334390882918628,1.5441866221460887,1138.9815470898454,19.794317972067567,15.901326784678105,15.901326784678105,14.203509938206672,9.82929412346917,9.82929412346917,7.412651766532035,7.412651766532035,5.584138258827107,5.584138258827107,4.152584549429021,4.152584549429021,-3.379999999999999,9429657.416893879,17.700482875367985,7.218991204308982,3.212529491252872,168.15223303003233,20.144157473594298,29.291383739935107,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,30.33183534230805,49.09138463432147,11.760295063310071,17.53203143136106,9.843390348640755,16.85126421306755,0.0,14.53505668968577,0.0,31.40827208567429,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,25.74555047227478,0.0,0.0,25.30430569792599,67.12146726253211,0.0,22.160304418626513,0.0,86.19000000000001,0.0,5.106527394840706,0.0,12.145807216896262,5.817862777835028,52.92179295397236,6.3273200747645415,0.0,60.794147187767564,14.53505668968577,10.470530430962235,7.957573848409887,0.0,8.668619809970128,11.238030577745516,8.95265059074739,2.004344688684065,17.603957027943874,5.908156789832474,0.0,0.0,0.21739130434782608,29,3,6,1,0,1,2,2,4,6,2,6,4,1,0,1,5,4.5587000000000035,112.78720000000003,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
5.800385219872052,5.800385219872052,0.7891923529946621,0.7891923529946621,0.5646783459131594,313.36,298.24000000000007,313.1215121,116,0,0.1411828937492125,-0.4573819099028567,0.4573819099028567,0.1411828937492125,0.6666666666666666,1.375,2.2083333333333335,16.480525635460687,10.197879240197409,2.035321748438488,-2.0947046080585396,2.2572422454502457,-1.9541590841523853,5.89900965816941,0.4825684381804014,2.6453940383120127,1.5470207294584286,947.8418013385083,16.192023676495616,12.885579250118544,12.885579250118544,11.882142733160752,7.681260742216646,7.681260742216646,5.303916796960375,5.303916796960375,3.6387883334499627,3.6387883334499627,2.47206552723406,2.47206552723406,-3.399999999999999,605266.1559657885,14.208733122665903,6.380383153298959,3.030855988553153,139.32995943836818,10.05365155780638,23.644206519167383,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,30.33183534230805,48.53093654769288,11.073610489148358,5.516700717616262,4.736862953800049,22.40817398459965,0.0,9.967957041894417,0.0,0.0,5.316788604006331,85.19009196476549,0.0,11.49902366656781,10.05365155780638,11.50524905251859,11.49902366656781,0.0,9.967957041894417,0.0,0.0,0.0,85.19009196476549,0.0,10.902924932081056,0.0,47.04,0.0,0.0,0.0,0.0,0.0,33.90719765116746,0.0,6.3273200747645415,78.86277189000094,15.284745645900749,4.736862953800049,5.800385219872052,0.0,8.61220442462662,4.321701636156452,1.8595331726811362,2.3996545880366233,25.439507069738227,1.567013888888889,0.0,0.0,0.0,24,1,4,0,0,0,3,1,4,4,1,4,4,0,0,0,4,5.165700000000003,95.77870000000001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.096910013008056
6.150788649728252,6.150788649728252,0.278923309752966,0.278923309752966,0.5621776884132378,344.4180000000001,324.25800000000004,344.16371126000007,130,0,0.14584803201191116,-0.45738384525978526,0.45738384525978526,0.14584803201191116,0.9230769230769231,1.6153846153846154,2.3076923076923075,16.48052410863878,10.062594478352725,2.159689701691582,-2.072262971109637,2.347864097812026,-2.0037518818138245,6.00232539039677,0.48255644455158914,3.0456542026588185,1.7388486122761726,1036.9999031994073,18.0956473593183,14.755442576428877,14.755442576428877,12.631030293135236,8.5759658578402,8.5759658578402,6.440800865971967,6.440800865971967,4.3392489439298005,4.3392489439298005,3.0480455643119493,3.0480455643119493,-3.3399999999999994,1402755.230043788,16.145946385645004,6.518661884897406,2.879623006311115,151.6339462025723,15.03763007875359,29.29138373993511,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,30.33183534230805,43.67639416492468,17.802135892458033,5.386224214464796,4.736862953800049,16.85126421306755,0.0,14.53505668968577,0.0,19.88931522852921,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,14.53505668968577,0.0,0.0,19.88931522852921,67.12146726253211,0.0,22.160304418626513,0.0,65.96000000000001,0.0,0.0,0.0,6.041840829147961,5.817862777835028,33.659328085194325,6.3273200747645415,0.0,54.59730361615449,34.579374660680095,10.470530430962235,7.991380857898715,0.0,8.598143619493936,0.8869701307724397,9.082719090369462,2.097302546656353,17.995078355995147,3.6017439134872395,4.246661485326709,0.0,0.14285714285714285,26,2,5,0,0,0,2,2,4,5,1,5,4,0,0,0,4,5.0537000000000045,104.27740000000003,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
6.303770674171107,6.303770674171107,0.46551291838539277,0.46551291838539277,0.5085487041896478,370.4560000000002,348.2800000000001,370.179361324,140,0,0.14586983804343873,-0.45672676977309346,0.45672676977309346,0.14586983804343873,0.8928571428571429,1.6428571428571428,2.4642857142857144,16.48106137469669,10.049626526325204,2.2360998035947106,-2.1212313024177165,2.4170495945033856,-2.0392547027632157,6.014358749369113,0.48417617336722496,3.375919142989484,1.678347559032817,1114.1225714153013,18.924074484064487,15.583869701175068,15.583869701175068,13.80966308808932,9.74374496453238,9.74374496453238,7.257115396437817,7.257115396437817,5.505012986939098,5.505012986939098,4.167022655331447,4.167022655331447,-3.339999999999999,6761979.547084508,16.80622527805116,6.999967443278681,2.889162692088314,163.3579992778363,15.03763007875359,29.291383739935107,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,49.23984565662168,31.04074445123685,23.36558738415503,5.386224214464796,4.736862953800049,16.85126421306755,0.0,14.53505668968577,0.0,31.725127320852,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,14.53505668968577,0.0,0.0,31.725127320852,67.12146726253211,0.0,22.160304418626513,0.0,65.96000000000001,0.0,0.0,0.0,0.0,11.85970360698299,33.659328085194325,25.683286491704038,6.3273200747645415,48.53093654769288,26.79826732976046,10.470530430962235,8.483257668808264,0.0,8.837041176816612,0.9013997018560513,9.225108910082756,2.10406404845889,18.34732300296479,8.601805491012637,0.0,0.0,0.21739130434782608,28,2,5,1,0,1,2,2,4,5,1,5,4,1,0,1,5,5.587900000000003,111.39740000000003,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4089353929735005
9.978382237751827,9.978382237751827,0.21873812456778063,-0.25508983767565496,0.5369479375552824,386.45500000000015,364.2790000000001,386.174275944,146,0,0.14586899157736308,-0.45738384525978526,0.45738384525978526,0.14586899157736308,0.9655172413793104,1.7241379310344827,2.4482758620689653,16.48055052420848,10.062495009345781,2.269430672662773,-2.1218912930778813,2.38787074135437,-2.066547397330548,6.002694384274485,0.17803522266958763,3.338220828418291,1.5271315695318926,1138.9815470898454,19.794317972067567,15.901326784678105,15.901326784678105,14.186673185801064,9.812457371063562,9.812457371063562,7.4677523594030095,7.4677523594030095,5.553566044584534,5.553566044584534,4.119937384818847,4.119937384818847,-3.379999999999999,9246230.75631961,17.700482875367985,7.218991204308982,3.317644608235859,168.15223303003233,20.144157473594298,29.291383739935107,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,30.33183534230805,49.09138463432147,17.802135892458033,11.490190602213097,9.843390348640755,16.85126421306755,0.0,14.53505668968577,0.0,31.408272085674295,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,25.74555047227478,0.0,0.0,25.30430569792599,67.12146726253211,0.0,22.160304418626513,0.0,86.19000000000001,0.0,5.106527394840706,0.0,12.145807216896262,5.817862777835028,52.92179295397236,6.3273200747645415,0.0,54.59730361615449,20.73190026129885,10.470530430962235,8.042482786273371,0.0,8.697732385555916,10.830805883263496,9.057021732722701,2.0352047389606014,17.863184003287305,5.806901803269948,0.0,0.0,0.21739130434782608,29,3,6,1,0,1,2,2,4,6,2,6,4,1,0,1,5,4.5587000000000035,112.78720000000003,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
9.996900756270346,9.996900756270346,0.05441002358036773,-0.7319416895275068,0.48213687755634854,402.4540000000001,380.27800000000013,402.16919056399996,152,0,0.14587056385653824,-0.45738384525978526,0.45738384525978526,0.14587056385653824,0.9,1.5666666666666667,2.2666666666666666,16.480591004842267,10.062490486975717,2.335900591972084,-2.12043971690417,2.3895022313399794,-2.1682934119093993,6.0027515444926625,0.043828662045694855,3.304290643604066,1.5256470397218302,1164.510176579503,20.664561460070647,16.21878386818114,16.21878386818114,14.597356788324024,9.903989594144056,9.903989594144056,7.60697613380509,7.60697613380509,5.647588079371871,5.647588079371871,4.1277858274416435,4.1277858274416435,-3.419999999999999,13274683.665940123,18.598635997914318,7.4390187878296645,3.276977041350928,172.94646678222833,25.250684868435002,29.291383739935107,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,30.33183534230805,42.67056301139546,17.802135892458033,17.594156989961398,14.94991774348146,16.85126421306755,0.0,14.53505668968577,0.0,31.091416850496582,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,36.956044254863784,0.0,0.0,18.88348407499998,67.12146726253211,0.0,22.160304418626513,0.0,106.42000000000002,12.207932775496605,10.213054789681411,0.0,6.041840829147961,24.306683244454774,28.012150864426594,6.3273200747645415,0.0,65.36124683555892,9.967957041894417,10.470530430962235,7.876915752297245,0.0,8.606704655019257,20.76241941353233,8.773118120351825,1.9122681424282257,17.333010908225624,2.902229674812162,0.0,0.0,0.21739130434782608,30,4,7,1,0,1,2,2,4,7,3,7,4,1,0,1,5,3.5295000000000014,114.17700000000002,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.698970004336019
6.07643502771479,6.07643502771479,0.1785809948979591,-0.1785809948979591,0.7436116253858401,281.363,262.211,281.164045608,108,0,0.16397035679537775,-0.3829645550666395,0.3829645550666395,0.16397035679537775,1.0476190476190477,1.7142857142857142,2.3333333333333335,15.344258640316538,10.077496894620992,2.231117527871412,-2.19113166517787,2.322499387977502,-2.23021564122942,5.978327514800253,0.3665139886835314,2.8041232130015534,2.3513512259264133,793.8856670729587,15.198306133819765,12.75295599713759,12.75295599713759,9.876028663351637,6.9444741078849495,6.9444741078849495,6.254772146040388,6.254772146040388,3.45442840158769,3.45442840158769,2.3557743397957074,2.3557743397957074,-2.43,64999.576077376005,13.548363599022416,4.547589564301598,2.243746904474524,123.38129254514583,5.733667477162185,17.83911084744803,5.647177220767728,0.0,0.0,0.0,0.0,14.6497599770396,5.098681808301038,0.0,29.828919765543436,27.694948798762496,5.563451491696996,10.92514946684814,0.0,16.85126421306755,0.0,19.74844178534064,0.0,33.23387405114584,5.733667477162185,36.156239840307975,0.0,11.257379486545457,5.733667477162185,5.817862777835028,0.0,0.0,19.74844178534064,5.538925252383345,6.923737199690624,26.334663090768867,30.59278834861098,0.0,22.29078092177798,0.0,69.62,0.0,0.0,0.0,5.538925252383345,5.817862777835028,22.29078092177798,11.890771566461538,0.0,4.681802935145185,61.928374114503356,10.832349285463224,1.9122656840513983,0.0,8.501275352733686,5.571498960695389,9.732327674897121,0.4639583333333335,8.23771730914588,1.4866152263374486,8.344341458805744,0.0,0.3125,21,2,5,0,0,0,1,2,3,5,1,5,1,0,0,0,3,3.1389200000000006,84.90440000000004,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82102305270683
6.090371927577616,6.090371927577616,0.0935329839240222,-0.0935329839240222,0.736179251524827,300.793,283.65700000000004,300.114174224,108,0,0.14610018412664347,-0.3830136983937733,0.3830136983937733,0.14610018412664347,1.0952380952380953,1.7619047619047619,2.380952380952381,35.49569139074567,10.066433657673686,2.212480904818502,-2.213121999260404,2.3521677584951814,-2.2054342070445934,6.302130004472731,0.40848528529025024,2.8041232130015534,2.3513512259264138,797.4953075473954,15.198306133819766,12.261057143836483,13.016986089854939,9.876028663351637,6.756723570981559,7.134688043990786,6.048006438552331,6.4844422190243165,3.490245230313261,3.7422215456527463,2.4449513553323725,2.570939513002115,-2.07,64999.576077376005,13.892254679614824,4.739262283161633,2.357704837834377,128.13151510827964,10.30076712495354,17.7923600733673,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,23.733674027155736,38.46739722769209,22.321853629434745,5.386224214464796,0.0,28.452204103300065,0.0,14.53505668968577,0.0,26.310136851455216,5.733667477162185,41.812265233965384,0.0,11.126902983393991,5.733667477162185,5.817862777835028,0.0,11.600939890232516,14.53505668968577,5.538925252383345,0.0,20.771211599071872,36.78963192022405,5.022633313741326,22.160304418626513,0.0,56.730000000000004,0.0,0.0,0.0,5.538925252383345,10.840496091576355,22.160304418626513,6.3273200747645415,0.0,24.26546827384644,41.50311186037072,17.3346073673947,2.129279572940287,5.971844835670893,8.551649152459337,1.5947027615058373,8.916784931307914,0.49347222222222253,7.709692617787856,3.58779058536995,6.405894431846813,0.0,0.25,21,2,4,0,0,0,1,2,3,4,1,5,1,0,0,0,3,4.088900000000002,87.38240000000003,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.657577319177793
6.249321812993558,6.249321812993558,0.4918862727159288,0.4918862727159288,0.5085487041896478,370.4560000000002,348.2800000000001,370.179361324,140,0,0.14586742186569762,-0.45738384525978526,0.45738384525978526,0.14586742186569762,0.8928571428571429,1.6071428571428572,2.357142857142857,16.480527173988524,10.062501577351842,2.2239059097608456,-2.1171760705220097,2.386282939435313,-2.0392074879203412,6.0026432435576895,0.4825524418919646,3.377825093827669,1.534691691529342,1096.8725714153015,18.924074484064487,15.583869701175068,15.583869701175068,13.792826335683712,9.737761900388675,9.737761900388675,7.2853333739291175,7.2853333739291175,5.500995824370504,5.500995824370504,4.115183539145361,4.115183539145361,-3.339999999999999,6697497.550840001,16.80622527805116,6.999967443278681,2.986828674591261,163.35799927783634,15.03763007875359,29.291383739935107,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,43.173478588160066,42.67056301139546,17.802135892458033,5.386224214464796,4.736862953800049,16.85126421306755,0.0,14.53505668968577,0.0,31.725127320852,5.733667477162185,67.12146726253211,0.0,22.6259266499618,10.470530430962235,5.817862777835028,11.49902366656781,0.0,14.53505668968577,0.0,0.0,31.725127320852,67.12146726253211,0.0,22.160304418626513,0.0,65.96000000000001,0.0,0.0,0.0,0.0,11.85970360698299,33.659328085194325,25.683286491704038,6.3273200747645415,42.46456947923127,32.864634398222066,10.470530430962235,8.208049820249496,0.0,8.788760116092575,0.9362293900316992,9.340925345093574,2.1581413354929775,18.39335709834898,8.674536894690698,0.0,0.0,0.21739130434782608,28,2,5,1,0,1,2,2,4,5,1,5,4,1,0,1,5,5.587900000000003,111.39740000000003,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
