molecule_chembl_id,pIC50,canonical_smiles
CHEMBL414450,6.221848749616356,CCCCCCCC/C=C\CCCCOC(=O)CC(=O)CBr
CHEMBL157232,5.3979400086720375,CCCCCC[C@H](C)OC(=O)CC(=O)CBr
CHEMBL156529,4.0,CCCCCC[C@@H](C)OC(=O)CC(=O)CCC
CHEMBL157781,4.0,CCCCCC[C@H](C)OC(=O)CC(C)=O
CHEMBL155928,5.823908740944319,CCCCCCCOC(=O)CC(=O)CBr
CHEMBL157736,6.0,CCCCCCCC/C=C\CCCCCCCC(=O)CBr
CHEMBL422064,6.221848749616356,CCCCCCCC/C=C\CCCCCCCC(=O)C(F)(F)F
CHEMBL421995,4.0,CCCCCC[C@@H](C)OC(=O)CC(O)CBr
CHEMBL157196,4.0,CCCCCCCCC(=O)CC(C)=O
CHEMBL352250,4.0,CCCCCC[C@@H](C)OC(=O)CC(=O)CC
CHEMBL347894,5.585026652029182,CCCCCC[C@@H](C)OC(=O)CC(=O)CBr
CHEMBL345382,5.5376020021010435,CCCCCC[C@@H](C)OC(=O)CC(=O)CCl
CHEMBL39412,5.698970004336019,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncco1
CHEMBL426230,6.823908740944319,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccn2)o1
CHEMBL93675,4.522878745280337,CCCCCCCC(=O)C(F)(F)F
CHEMBL90258,5.0,CCCCCCCCCC(=O)C(F)(F)F
CHEMBL90308,5.0,CCCCCCCCCCCC(=O)C(F)(F)F
CHEMBL89946,5.1938200260161125,CCCCCCCCCCCCCCCCCC(=O)C(F)(F)F
CHEMBL293277,4.0,O=C(c1ccccc1)C(F)(F)F
CHEMBL292454,4.0,O=C(Cc1ccccc1)C(F)(F)F
CHEMBL413727,5.301029995663981,O=C(CCCCCc1ccccc1)C(F)(F)F
CHEMBL91416,5.301029995663981,O=C(CCCCCCc1ccccc1)C(F)(F)F
CHEMBL91417,5.698970004336019,O=C(CCCCCCCc1ccccc1)C(F)(F)F
CHEMBL285678,5.0,CCCCCCCC/C=C\CCCCCCCC(=O)c1nc2ccccc2o1
CHEMBL35925,7.3979400086720375,CCCCCCCC/C=C\CCCCCCCC(=O)c1nc2ncccc2o1
CHEMBL366907,5.0,O=C(CCCCCc1ccccc1)c1nc2ccccc2o1
CHEMBL175854,9.0,O=C(CCCCCc1ccccc1)c1nc2ncccc2o1
CHEMBL367966,9.522878745280337,O=C(CCCCCCc1ccccc1)c1nc2ncccc2o1
CHEMBL175580,8.698970004336019,CCCCCCCCC#CCCCCCCCC(=O)c1nc2ncccc2o1
CHEMBL177577,8.698970004336019,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1
CHEMBL174397,7.698970004336019,CCCCCCCCC#CCCCCCCCC(=O)c1ncc(-c2ccccn2)o1
CHEMBL329187,5.301029995663981,CCCCCCCC/C=C/CCCCCCCC(=O)C(F)(F)F
CHEMBL426410,5.301029995663981,CCCCCCCC/C=C\CCCCCCCC(=O)c1ncc(-c2ccccc2)o1
CHEMBL366959,7.0,O=C(CCCCCc1ccccc1)c1ncc(-c2ccccn2)o1
CHEMBL179760,9.522878745280337,O=C(CCCCCCCc1ccccc1)c1nc2ncccc2o1
