molecule_chembl_id,pIC50,canonical_smiles
CHEMBL297008,7.221848749616356,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1
CHEMBL289813,5.490797477668897,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL43736,7.096910013008056,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL140167,9.920818753952375,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1
CHEMBL44194,4.0,CCc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL44290,5.79317412396815,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C
CHEMBL288773,4.0,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1Cc1ccc(F)cc1
CHEMBL44068,4.0,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)[nH]1
CHEMBL44367,4.0,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl
CHEMBL297409,4.0,CCCCn1c(C)ccc1-c1ccc(S(C)(=O)=O)cc1
CHEMBL43737,7.3979400086720375,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL43511,7.853871964321762,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
CHEMBL42801,4.0,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL1316,6.991399828238082,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
CHEMBL40245,7.698970004336019,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL43210,4.991399828238082,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1
CHEMBL298231,4.0,CS(=O)(=O)c1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(F)cc2)cc1
CHEMBL44101,5.411168274405793,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL44152,7.522878745280337,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL43664,5.337242168318426,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1
CHEMBL298208,6.6020599913279625,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1
CHEMBL43002,7.221848749616356,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL42121,4.0,CCS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
CHEMBL42409,6.920818753952375,Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL43957,6.292429823902063,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
CHEMBL43366,6.1249387366083,Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL296307,4.0,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc(S(C)(=O)=O)cc1
CHEMBL43864,6.2839966563652006,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1
CHEMBL44244,7.221848749616356,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL44313,5.991399828238082,Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL44362,5.841637507904751,Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL42085,7.096910013008056,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1
CHEMBL43647,4.0,Cc1c(C(Oc2cccc(Cl)c2)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL143776,10.096910013008056,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1
CHEMBL297820,5.542118103266008,CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL42120,4.0,O=S(=O)(c1ccccc1)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
CHEMBL44283,7.301029995663981,Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL44038,6.853871964321762,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL298281,4.0,CNS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
CHEMBL43863,4.0,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C(C)C
CHEMBL294971,6.327902142064283,CC(=O)OCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C
CHEMBL44447,4.0,CS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)n2-c2ccc(F)cc2)cc1
CHEMBL288570,4.0,CS(=O)(=O)c1cccc(-n2cccc2-c2ccc(F)cc2)c1
CHEMBL44421,4.0,CN(C)S(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1
CHEMBL43755,5.1249387366083,CN(C)S(=O)(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(F)cc2)cc1
CHEMBL91832,8.301029995663981,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL91118,8.920818753952375,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1
CHEMBL92443,8.657577319177793,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C
CHEMBL282185,6.136677139879544,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Cl)cc1
CHEMBL144658,4.468521082957745,CCCCSc1ccccc1OC(C)=O
CHEMBL145283,4.3979400086720375,CCCCC#CCSc1ccccc1OC(=O)CC
CHEMBL19286,4.0,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1
CHEMBL342799,4.920818753952375,CCCCCCC[Se]c1ccccc1OC(C)=O
CHEMBL145354,3.0,CC(=O)Oc1ccccc1SCCCc1ccccc1
CHEMBL145493,4.3979400086720375,CCCCCCC[S+]([O-])c1ccccc1OC(C)=O
CHEMBL344960,4.301029995663981,CC(=O)Oc1ccccc1SCCCCC(=O)O
CHEMBL144414,4.301029995663981,CC(=O)Oc1ccccc1SCCCCC#N
CHEMBL144547,4.585026652029182,CCCCC#CCSc1ccccc1OC(=O)CBr
CHEMBL144944,4.3979400086720375,CC(=O)Oc1ccccc1SC1CCCCCC1
CHEMBL143339,5.698970004336019,CCCCCCCSc1ccccc1OC(C)=O
CHEMBL328003,6.958607314841775,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1
CHEMBL420987,8.55284196865778,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1
CHEMBL145598,4.3979400086720375,CCCCCCCCc1ccccc1OC(C)=O
CHEMBL416542,4.6020599913279625,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1
CHEMBL122,6.275724130399211,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
CHEMBL330516,7.214670164989233,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O
CHEMBL42485,8.67778070526608,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1
CHEMBL345018,6.096910013008056,CCCCC#CCSc1ccccc1OC(C)=O
CHEMBL6,8.229147988357855,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL342317,3.6989700043360187,CCSc1ccccc1OC(C)=O
CHEMBL357380,5.154901959985743,CCCCCC#CCSc1ccccc1OC(C)=O
CHEMBL92154,8.958607314841775,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1
CHEMBL145029,4.0,CC(=O)Oc1ccccc1SCCc1ccccc1
CHEMBL358309,5.022276394711152,CC(=O)Oc1ccccc1SCCCCCBr
CHEMBL328521,6.275724130399211,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)C1O
CHEMBL118,6.920818753952375,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL144806,5.301029995663981,CCCCCSc1ccccc1OC(C)=O
CHEMBL144533,4.920818753952375,CC(=O)Oc1ccccc1SCCCCCCBr
CHEMBL145364,3.6020599913279625,CSc1ccccc1OC(C)=O
CHEMBL146441,3.2924298239020637,CSc1ccccc1OC(=O)CBr
CHEMBL358097,4.180456064458132,CCCSc1ccccc1OC(C)=O
CHEMBL144850,4.3979400086720375,CCCCCCCCSc1ccccc1OC(C)=O
CHEMBL143962,4.3979400086720375,CCCCCCCCCSc1ccccc1OC(C)=O
CHEMBL356794,4.958607314841775,CCCC/C=C/CSc1ccccc1OC(C)=O
CHEMBL144920,5.522878745280337,CCCC#CCSc1ccccc1OC(C)=O
CHEMBL93803,5.301029995663981,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)CC2)cc1
CHEMBL144218,5.455931955649724,CCCCCCSc1ccccc1OC(C)=O
CHEMBL145180,5.0,CC(=O)Oc1ccccc1SCCCCCCI
CHEMBL145138,4.3979400086720375,CCCCCCCN(C)c1ccccc1OC(C)=O
CHEMBL25,4.204119982655925,CC(=O)Oc1ccccc1C(=O)O
CHEMBL144281,3.4436974992327127,CSc1ccccc1OC(=O)CCl
CHEMBL19299,4.0,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
CHEMBL441414,6.4089353929735005,C[C@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1
CHEMBL281910,4.698970004336019,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Br)cc1
CHEMBL144913,3.585026652029182,CSc1ccccc1OC(=O)C(F)(F)F
CHEMBL358783,4.3979400086720375,CCCCCCCS(=O)(=O)c1ccccc1OC(C)=O
CHEMBL145220,3.6020599913279625,CC(=O)Oc1ccccc1SCc1ccccc1
CHEMBL282096,4.698970004336019,CS(=O)(=O)c1ccc2c(c1)cc(C(=O)O)n2Cc1ccc(Cl)cc1
CHEMBL145647,4.301029995663981,CCCOCCCSc1ccccc1OC(C)=O
CHEMBL344089,4.3979400086720375,CCCCC#CCSc1ccccc1OC(=O)CN
CHEMBL144840,3.0,CCC(=O)Oc1ccccc1SC
CHEMBL145626,3.0,CC(=O)Oc1ccccc1SCCCOc1ccccc1
CHEMBL145412,5.187086643357144,CCCC#CCCSc1ccccc1OC(C)=O
CHEMBL417452,4.0,C[C@@H](C(=O)O)c1ccc(C[C@H]2CCC[C@@H]2O)cc1
CHEMBL356093,4.3979400086720375,CC(=O)Oc1ccccc1SC1CCCCC1
CHEMBL92485,7.017728766960431,CC1(C)C(=O)C(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1
CHEMBL285975,6.187086643357144,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Cl)cc1
CHEMBL145646,4.3979400086720375,CCCCCCCOc1ccccc1OC(C)=O
CHEMBL145071,4.301029995663981,CC(=O)Oc1ccccc1SCCCCCC(=O)O
CHEMBL144232,4.698970004336019,CC#CCSc1ccccc1OC(C)=O
CHEMBL282177,4.698970004336019,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL145727,5.301029995663981,CCC#CCSc1ccccc1OC(C)=O
CHEMBL90988,7.920818753952375,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C23CCCC3)cc1
CHEMBL18264,6.638272163982407,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1
CHEMBL146005,4.301029995663981,CC(=O)OCCCCCSc1ccccc1OC(C)=O
CHEMBL143113,4.6020599913279625,C#CCSc1ccccc1OC(C)=O
CHEMBL18883,4.0,C[C@@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1
CHEMBL145247,5.154901959985743,CCCCOCCSc1ccccc1OC(C)=O
CHEMBL144515,5.154901959985743,CCCCC#CC(C)Sc1ccccc1OC(C)=O
CHEMBL143340,4.3979400086720375,CCCCC#CCOc1ccccc1OC(C)=O
CHEMBL282643,5.429457060118103,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(Br)cc1
CHEMBL281014,4.698970004336019,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc([N+](=O)[O-])cc1
CHEMBL31060,6.107905397309519,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1Cc1ccc(OC)cc1
CHEMBL145358,4.301029995663981,CC(=O)Oc1ccccc1SCCCCCO
CHEMBL347187,6.886056647693163,COc1ccc(NNC(=O)c2ccc(Cl)cc2)cc1
CHEMBL154839,6.327902142064283,COc1ccc(C(=O)NNc2ccc(Cl)cc2)cc1
CHEMBL110331,6.3799993576999325,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)n1
CHEMBL323954,5.95999928552668,Cn1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c2ccccc21
CHEMBL421417,6.329995488683631,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccs2)cc1
CHEMBL110660,6.390000296157769,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1
CHEMBL274893,7.590066876668706,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1
CHEMBL109486,5.180000294489514,COCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1
CHEMBL54649,7.680061560019691,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1F
CHEMBL52872,8.219970872662662,CN(C)c1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl
CHEMBL29136,6.470005326930858,N#Cc1cc(-c2ccc(F)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1
CHEMBL29472,7.92009553233328,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)s2)cc1
CHEMBL88649,6.890016705180107,NS(=O)(=O)c1ccc(C2=C(c3ccc(OC(F)(F)F)cc3)CC3(CC3)C2)cc1
CHEMBL119001,5.0,CS(=O)(=O)c1ccc(-c2cnc(CF)n2-c2ccc(F)cc2)cc1
CHEMBL324509,8.397940008672037,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL422530,6.468521082957745,O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1
CHEMBL347267,6.275724130399211,O=C(NNc1ccc(Cl)cc1)c1ccccc1
CHEMBL44977,6.480001470881152,CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F
CHEMBL43089,6.339998279897117,COc1cc(F)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1
CHEMBL43553,6.850011543508524,CN(C)c1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl
CHEMBL322136,5.740000204918113,Cc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1
CHEMBL327078,6.139997578098902,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1
CHEMBL54945,6.620005959834258,CS(=O)(=O)c1ccc(-c2cc(Cl)c(Cl)cc2-c2ccc(F)cc2)cc1
CHEMBL110612,6.770011163455189,Cc1ccncc1-c1cc(F)c(F)cc1-c1ccc(S(C)(=O)=O)cc1
CHEMBL29839,8.100015437450608,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL28881,8.330032630091496,CN(C)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL29133,7.659952682338607,Cc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(Cl)cc1
CHEMBL274990,7.0,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1
CHEMBL119002,5.0,CS(=O)(=O)c1ccc(-c2cnc(CO)n2-c2ccc(F)cc2)cc1
CHEMBL331148,7.795880017344075,Cc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL333084,5.0,CC(C)Oc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL324700,5.0,CCS(=O)(=O)c1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL117708,6.728158393463501,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1
CHEMBL156533,5.0,CS(=O)(=O)c1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCC3)cc1
CHEMBL111562,8.700057099977233,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1
CHEMBL42561,6.799998134593398,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL415895,6.639993867770902,CS(=O)(=O)c1ccc(-n2cc(C#N)nc2-c2ccc(Cl)cc2)cc1
CHEMBL320790,6.329995488683631,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc3c2OCO3)cc1
CHEMBL320784,8.15002808767115,CC1(C)CC(c2ccc(Cl)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1
CHEMBL322949,7.519993057042849,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1
CHEMBL28528,7.119987161633229,Cc1ccc(-c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL29403,7.280006173632396,Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2
CHEMBL314225,8.51999305704285,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1
CHEMBL333170,5.0,CCc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1
CHEMBL116343,7.292429823902063,Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1
CHEMBL156256,6.2076083105017466,Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1
CHEMBL155887,5.906578314837765,COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1
CHEMBL46712,7.219970872662661,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1
CHEMBL42094,6.679999195735272,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(C(F)(F)F)c2)cc1
CHEMBL42398,7.519993057042849,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1
CHEMBL43331,6.139997578098902,COc1c(C)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1C
CHEMBL54370,8.400007822415901,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL29717,7.819874124835946,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)c(Cl)c2)cc1
CHEMBL281978,7.250031916490597,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2Cl)cc1
CHEMBL282301,7.309981219211305,NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1
CHEMBL285335,6.699991797446187,NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1
CHEMBL29500,7.510041520575165,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCC3)cc1
CHEMBL88550,8.0,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1F
CHEMBL326577,7.443697499232712,CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1
CHEMBL324957,6.841637507904751,Cc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1
CHEMBL117528,7.823908740944319,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1
CHEMBL110846,6.770011163455189,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1
CHEMBL42225,6.919987152892072,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1
CHEMBL42996,6.149997413907539,CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL296515,5.2399999527072705,CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1
CHEMBL296984,7.400007822415902,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1
CHEMBL42709,7.400007822415902,Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1
CHEMBL326639,6.030002001401658,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cs1
CHEMBL109030,6.060001790087838,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CCC2)cc1
CHEMBL29445,6.890016705180107,NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccccc2)cc1
CHEMBL29842,7.100015437450609,COc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccccc1
CHEMBL29469,6.639993867770902,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCCS3)cc1
CHEMBL324312,8.698970004336019,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL42175,7.219970872662661,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1
CHEMBL44468,6.459996055149973,COc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1
CHEMBL43645,6.399996913372259,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2F)cc1
CHEMBL44926,7.0,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2F)cc1
CHEMBL42223,6.599997654072044,COc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)ccc1Cl
CHEMBL43493,6.480001470881152,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1C
CHEMBL110574,5.019999811738259,Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1
CHEMBL110382,7.590066876668706,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1
CHEMBL89578,7.819874124835946,CC1(C)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1
CHEMBL52889,6.470005326930858,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1OC
CHEMBL29920,7.489991487059766,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2)cc1
CHEMBL29844,7.179995693191682,COc1c(C)cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl
