molecule_chembl_id,pIC50,canonical_smiles
CHEMBL25817,6.920818753952375,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O
CHEMBL277176,7.214670164989233,CC(C)(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)(C)C)c1O
CHEMBL279455,7.356547323513812,CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OC
CHEMBL23338,7.031517051446065,C/C=C/c1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL36083,8.602059991327963,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1
CHEMBL22,6.346787486224656,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL34259,9.086186147616283,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL61708,5.0,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1
CHEMBL282022,6.958607314841775,C=CCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL225072,5.638272163982407,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1
CHEMBL34918,6.337242168318426,N#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL23447,6.508638306165727,CCc1cc(Cc2cnc(N)nc2N)cc(C)c1OC
CHEMBL278345,7.173925197299173,CCCc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL83644,8.886056647693163,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CC(F)(F)CN)C(=O)O)cc1
CHEMBL119,7.045757490560675,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL23609,6.769551078621726,CCOc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
CHEMBL422395,6.522878745280337,C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL440946,7.5376020021010435,CC(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)C)c1O
CHEMBL287553,6.431798275933005,COc1c(C)cc(Cc2cnc(N)nc2N)cc1C
CHEMBL24374,7.236572006437063,COc1c(C(C)(C)C)cc(Cc2cnc(N)nc2N)cc1C(C)(C)C
CHEMBL24503,7.698970004336019,C=CCc1cc(Cc2cnc(N)nc2N)cc(CCC)c1O
CHEMBL25888,7.309803919971486,CCCc1cc(Cc2cnc(N)nc2N)cc(CC)c1O
CHEMBL109260,7.853871964321762,Nc1cc(N)c2cc(CCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2c1
CHEMBL326200,5.0,COc1cc(-c2sc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL307137,4.301029995663981,Cc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1
CHEMBL288142,6.366531544420414,NCCCC(NC(=O)c1ccc(NCc2ccc3nc(N)nc(O)c3c2Cl)cc1)C(=O)O
