,ECFP6_2048,pairfps,pIC50
184,6.120220952505371,5.535368568997032,4.698970004336019
1724,6.695534568875333,7.249899145576754,6.347173697438995
251,5.840211018925739,5.432174111727448,6.219682687859849
1121,4.854626243917657,4.6211518748265945,4.795880017344075
1486,6.8038880290687125,7.009263282111636,6.455931955649724
111,6.6382082248794525,6.6729044908096595,8.154901959985743
1450,5.539067421290607,4.852369300475608,5.200659450546418
188,5.492198565204038,5.608392276261408,6.348721986001856
614,5.424724018897487,5.389642743904124,5.886056647693163
220,6.769684400393863,7.577838637936304,7.552841968657781
1175,7.243277917862346,7.624780652338122,7.853871964321762
1794,5.929155627939913,6.1283651156244865,6.498940737782249
679,5.1965399516579405,5.168998517759605,5.0
1368,5.590413719631612,5.396328041623875,5.864867348623225
544,5.54467284234707,5.8608045685010435,5.508638306165727
746,5.2401420872455855,5.468813714279463,6.064996848546345
570,5.983412690603156,5.637303017839837,6.7121982700697735
1656,5.636449818039253,5.721319981664969,6.0
56,7.935809944981515,7.265631597296995,8.481486060122112
529,5.102911382876889,5.788183459868386,5.0
486,5.833293744851032,5.9941712660549635,5.958607314841775
1639,6.755883252402074,6.285106142703697,6.164943898279883
1423,5.59047586783889,5.966271632840368,5.760700520873107
1709,6.869007940005094,7.674626750079631,7.610833915635467
1729,7.217160443188868,6.832612301483354,7.675717544702307
1110,5.884947114324022,5.997948811222518,5.831207979685818
1905,5.0783538169935145,5.267320618926298,5.0
900,5.162623705041891,5.186095047614283,5.3979400086720375
892,5.290924818580482,5.250986339729019,5.327902142064283
381,7.482042295831852,6.11845969290018,8.301029995663981
1187,6.656915519763187,6.781055855479672,7.207608310501746
324,7.11816639333924,7.3676987703199455,7.045757490560675
1058,5.085135370165898,5.442457492819324,4.0
1875,6.159605747167492,5.723660026644247,5.0
819,5.264866375854984,5.569554824584894,5.00436480540245
1432,5.897162962020411,6.469074544022285,5.793984123236656
1702,7.32513321076812,7.056308474077339,7.113509274827518
914,4.65775498351418,4.468125104733236,4.555174800490252
1474,6.829744680732693,6.648663900324221,6.448550002027125
479,5.61327807982252,6.3071757907341555,5.795880017344075
1087,5.353459968544663,6.22097853629547,5.512437439743622
1876,5.8334959807949325,6.054406432848658,5.542118103266008
1785,6.077461905156789,6.399012305425258,7.244887733604929
543,5.169595664509425,5.035229875697923,5.0
1259,8.03376551246343,7.199083622885598,8.698970004336019
231,7.48906228540758,7.357964003020269,7.886056647693163
1701,7.047521335542918,7.416713299370699,6.671620396561262
1916,6.099103675112409,5.339633877868377,4.214670164989233
942,4.791993724749329,4.6076129377110195,4.439615077027985
1803,5.917466580916266,6.236860453659868,5.438898616350944
792,4.885219584017715,5.053223179199319,5.0
1009,5.715477623717697,5.864391899766422,5.636388020107856
534,5.079589909157891,5.095946649280566,5.0
599,5.313855053867068,4.972583627940936,5.0
