,ECFP6_2048,pairfps,pIC50
538,8.052620554255002,7.363655416520646,8.130768280269024
1289,5.671086155749195,5.189616053842422,5.0
631,7.589004447681785,8.12934375242232,7.1487416512809245
1178,7.525914947416396,7.069278278159246,7.568636235841013
1084,5.001938914647071,5.427839858410103,4.769551078621726
65,7.894640967773632,8.083156305469066,7.744727494896693
1193,6.518697470174691,7.301689460938279,8.301029995663981
809,7.0949708926542785,6.748267761638243,6.570247719997592
904,5.573660291909136,5.179997559379406,4.831414134463589
588,9.182498431980585,9.337773779078578,9.51999305704285
361,6.645645930773146,6.838584328650702,6.355561410532162
482,6.553550376708696,6.718572091728392,6.823908740944319
1490,8.749542991951492,8.768176059287219,8.500038134403809
619,8.040736906429563,8.258612194539534,7.853871964321762
111,7.780096190884136,7.920737108193164,7.698970004336019
987,4.2450930068033355,4.48660381127294,4.494850021680094
1566,6.409616258221444,6.139926988719824,5.989700043360188
628,7.572415664008666,7.49129322307211,8.236572006437063
1772,6.689811636716202,6.457828159780266,6.980011840408714
1492,8.578501665982795,8.814945141042973,8.899974269892137
415,8.040614615067065,8.305147283904164,7.896196279044043
1322,4.741141042195644,5.3010393469802395,5.0
839,4.872211421591108,5.010337260464515,5.0
1179,7.540872010584005,7.2935784150374525,8.096910013008056
843,5.270906909540059,5.146832821216795,5.0
1023,5.7432789315943875,5.192166674616666,4.769551078621726
270,7.744661187315527,8.046758973053096,8.244125144327509
1310,6.429184365115562,5.59649567694921,5.6020599913279625
398,4.756877322956875,4.81491609278674,5.0
1078,4.929394355929302,4.622722382767646,4.769551078621726
583,5.5680766060918705,6.364116427858399,6.399996913372259
506,8.550735138480974,8.694704515458458,8.823908740944319
813,6.973547000233475,6.815998099920918,7.236572006437063
1565,5.767059142207562,5.442962629360272,5.735182176990463
1613,5.198063048874963,5.898811414629644,5.777283528852417
203,8.684877514225413,8.827046694342691,9.522878745280336
1305,5.322785131109463,5.504582037574204,5.0
1047,8.855600048798548,9.184682548588274,9.110026361596004
1779,7.240381395142508,6.5661862735138365,7.029978734171634
824,5.0612106066745035,5.777755307048821,6.903089986991944
1450,6.862286108246192,5.459475760352755,5.0
351,6.030129300114149,6.2701613130218,6.476253533188435
239,5.112968069154,5.202762144192501,5.499999678657065
952,4.6447113999454155,4.362559969140661,5.114638779968488
1837,5.221515584535537,5.37677509529853,5.142667503568732
782,9.178392610542824,8.49683800743176,9.522878745280336
1827,5.0282340114668544,5.364108423112066,5.619788758288394
212,8.73878747605717,9.138943360722838,9.045757490560677
651,7.539544511262126,7.784755987390885,8.468521082957745
1389,4.990131485233558,5.332746693587887,5.0
759,9.167005582635905,9.175820315723364,9.221848749616356
382,7.144964677305593,7.197171302872441,7.371611069949688
275,7.693533844129019,7.8292877041659255,6.812479279163537
1758,6.173419631319753,6.27322479632719,5.0
1395,5.56275475372485,5.400032859889712,6.6595558851598815
307,5.8803901990903045,6.1703454511637394,5.301029995663981
1530,7.0514612692391925,7.553748960204123,7.522878745280337
613,7.365528967790359,7.161935992446087,5.525492360883025
1427,5.570377025569603,5.265137382406398,6.096910013008056
1090,4.741854698573429,4.6775877254220966,4.769551078621726
939,5.4016613996915686,5.257345562502096,5.779891911959945
864,5.918375353444642,5.097814566452127,4.494850021680094
422,7.966421968667843,7.741458704951478,7.67778070526608
1114,5.103713702007149,5.4435118852711435,5.0
1765,6.494306857015006,6.221862752851867,5.0
29,6.899235541771391,6.776472462568669,6.346787486224656
