,ECFP6_2048,mol2vec,pIC50
538,8.0526205505824,7.569890714855608,8.130768280269024
1289,5.671086151449725,6.08441189800342,5.0
631,7.58900444006155,8.084740827846305,7.1487416512809245
1178,7.525914944807939,7.707261318688524,7.568636235841013
1084,5.001938914315583,4.942777505097252,4.769551078621726
65,7.894640964552037,8.143679246003567,7.744727494896693
1193,6.518697472796284,7.523493892430218,8.301029995663981
809,7.094970895348316,7.072949341854969,6.570247719997592
904,5.573660287355071,5.319773562079586,4.831414134463589
588,9.182498430348002,9.483222563936721,9.51999305704285
361,6.645645932484528,6.984037365593891,6.355561410532162
482,6.553550376878158,7.308443988181551,6.823908740944319
1490,8.749542990113346,7.6368920159074065,8.500038134403809
619,8.040736896819475,8.458443142546136,7.853871964321762
111,7.780096193137476,7.9241035837657385,7.698970004336019
987,4.245093005176173,4.556802849244929,4.494850021680094
1566,6.409616251792191,6.260333475140914,5.989700043360188
628,7.572415652566692,6.236862556898061,8.236572006437063
1772,6.68981164365892,7.0211622361238,6.980011840408714
1492,8.578501664652013,6.635589168277552,8.899974269892137
415,8.040614612077569,8.112295264090633,7.896196279044043
1322,4.741141048236736,5.280569209129449,5.0
839,4.872211416499946,5.063005182635223,5.0
1179,7.540872008940762,7.558129844680277,8.096910013008056
843,5.2709069109725935,5.062334191947323,5.0
1023,5.743278933021359,6.180671010985124,4.769551078621726
270,7.744661192005526,8.251255329291086,8.244125144327509
1310,6.429184366753409,5.767838833654568,5.6020599913279625
398,4.756877320269656,4.91128492241762,5.0
1078,4.92939436169643,4.6944319709259945,4.769551078621726
583,5.568076618267061,5.430343330277728,6.399996913372259
506,8.550735138034105,8.150918623108792,8.823908740944319
813,6.97354700035623,6.9383366440240275,7.236572006437063
1565,5.7670591333846035,5.739957503578668,5.735182176990463
1613,5.19806304606259,5.831669476552084,5.777283528852417
203,8.684877516394492,9.216489342968044,9.522878745280336
1305,5.322785131997235,5.92141913313942,5.0
1047,8.855600045255956,8.454734246704136,9.110026361596004
1779,7.240381401847412,6.803699029359462,7.029978734171634
824,5.061210611787122,5.594802111448093,6.903089986991944
1450,6.862286109589031,5.521806803532756,5.0
351,6.03012931158464,5.958523607362706,6.476253533188435
239,5.1129680707524825,5.3163494417154045,5.499999678657065
952,4.644711402452034,4.576559960880879,5.114638779968488
1837,5.2215155896002425,5.307502425964836,5.142667503568732
782,9.178392613700064,9.24433808357862,9.522878745280336
