,ECFP6_2048,rdk,pIC50
538,8.052620552492588,7.63876153120626,8.130768280269024
1289,5.671086150829952,5.694479335794085,5.0
631,7.589004444155269,7.677206031256341,7.1487416512809245
1178,7.5259149493709305,7.298563576391225,7.568636235841013
1084,5.001938920117682,4.781505518385234,4.769551078621726
65,7.894640967387765,8.13879917416961,7.744727494896693
1193,6.518697471326928,6.199296184191381,8.301029995663981
809,7.094970891707358,6.475680713327729,6.570247719997592
904,5.573660287310377,5.139390180006487,4.831414134463589
588,9.182498429167874,9.449863256591078,9.51999305704285
361,6.645645934799963,6.896655246370627,6.355561410532162
482,6.553550364588975,6.786077621625328,6.823908740944319
1490,8.74954299038037,8.80371045738936,8.500038134403809
619,8.040736900684623,7.608790183202835,7.853871964321762
111,7.780096192061769,8.215758571827775,7.698970004336019
987,4.245093011373163,5.073467375057182,4.494850021680094
1566,6.409616257028853,5.776211471679738,5.989700043360188
628,7.572415661087245,7.402404021921538,8.236572006437063
1772,6.689811631958532,6.483398674246414,6.980011840408714
1492,8.578501664603074,8.756282824836124,8.899974269892137
415,8.040614613980349,7.465560185270859,7.896196279044043
1322,4.741141046257005,5.074647637063731,5.0
839,4.872211420186391,4.940916573791972,5.0
1179,7.540872010178908,7.380204587647041,8.096910013008056
843,5.270906907368126,4.984427260434304,5.0
1023,5.743278935987152,5.6634320053270475,4.769551078621726
270,7.744661190552152,8.132997650452317,8.244125144327509
1310,6.429184360891087,5.220385889524613,5.6020599913279625
398,4.756877322311031,5.128169053180385,5.0
1078,4.929394354341203,4.888869597397464,4.769551078621726
583,5.5680765974517765,6.413148502943694,6.399996913372259
506,8.550735134957854,8.104039365408232,8.823908740944319
813,6.973547000019021,7.162720581118724,7.236572006437063
1565,5.767059135759239,5.91194502208596,5.735182176990463
1613,5.198063046086307,5.967960358825828,5.777283528852417
203,8.684877515805221,8.607486478239423,9.522878745280336
1305,5.3227851296476,5.860538900028657,5.0
1047,8.855600043609256,8.888401674913702,9.110026361596004
1779,7.240381388524081,6.11697526276378,7.029978734171634
824,5.061210607714306,5.819661357119087,6.903089986991944
1450,6.862286094833611,5.411320000816506,5.0
351,6.030129298497569,5.597118558144958,6.476253533188435
239,5.112968068099231,5.174213800091209,5.499999678657065
952,4.6447113947335215,4.463288315032127,5.114638779968488
1837,5.221515582171661,5.269572625879574,5.142667503568732
782,9.178392612845082,8.937334064914666,9.522878745280336
1827,5.02823400994454,5.280876210373547,5.619788758288394
212,8.738787472468228,8.98964776188801,9.045757490560677
651,7.539544513695295,7.542557617819888,8.468521082957745
1389,4.9901314847518385,5.161164552403629,5.0
759,9.167005579521044,9.03314137729552,9.221848749616356
